week,soloOrDuo,player1,player2,region,rank,payout,points   
Week 1,Solo,SEN Bugh?,,NA East,1,5000,69
Week 1,Solo,FaZe Dubs.,,NA East,2,4000,68
Week 1,Solo,Ghost Bizzle,,NA East,3,3000,65
Week 1,Solo,TSM_Comadon,,NA East,4,2500,63
Week 1,Solo,Mjólnir,,NA East,5,2250,60
Week 1,Solo,100T Ceice,,NA East,6,2000,60
Week 1,Solo,Envy LeNain,,NA East,7,1750,60
Week 1,Solo,Secret Fuzzy,,NA East,8,1500,60
Week 1,Solo,KingTrigg,,NA East,9,1250,60
Week 1,Solo,Ghost A??ault,,NA East,10,1000,59
Week 1,Solo,OT Spades,,NA East,11,800,59
Week 1,Solo,Marzz_Ow,,NA East,12,800,58
Week 1,Solo,OT TwizBot,,NA East,13,800,57
Week 1,Solo,LZR Kreo,,NA East,14,800,56
Week 1,Solo,Hippie Habitat,,NA East,15,800,56
Week 1,Solo,Lanson.,,NA East,16,800,56
Week 1,Solo,Ghost Snood,,NA East,17,800,56
Week 1,Solo,MRKN Av,,NA East,18,800,56
Week 1,Solo,Nittle GG,,NA East,19,800,54
Week 1,Solo,Mazer Kryza.,,NA East,20,800,54
Week 1,Solo,KNG Unknown,,NA East,21,650,54
Week 1,Solo,RogueShark_,,NA East,22,650,53
Week 1,Solo,inno?ent?,,NA East,23,650,53
Week 1,Solo,Hogmanlolz,,NA East,24,650,53
Week 1,Solo,Frey,,NA East,25,650,53
Week 1,Solo,OT th3pacifist,,NA East,26,650,52
Week 1,Solo,Envy collinfrags,,NA East,27,650,52
Week 1,Solo,oovik,,NA East,28,650,52
Week 1,Solo,Twitch Dovpy,,NA East,29,650,52
Week 1,Solo,clkzy,,NA East,30,650,52
Week 1,Solo,Evade MistaDong,,NA East,31,550,52
Week 1,Solo,Diamond ?,,NA East,32,550,51
Week 1,Solo,bhegs,,NA East,33,550,51
Week 1,Solo,?rtsy,,NA East,34,550,50
Week 1,Solo,Bolt Tetchra,,NA East,35,550,50
Week 1,Solo,Thre?ts,,NA East,36,550,50
Week 1,Solo,Ghost Enzo,,NA East,37,550,50
Week 1,Solo,RBK Steanzz,,NA East,38,550,49
Week 1,Solo,Ghost Dmo,,NA East,39,550,49
Week 1,Solo,parallel gage,,NA East,40,550,49
Week 1,Solo,Kydra.,,NA East,41,450,49
Week 1,Solo,Thatoneguy.-_-,,NA East,42,450,49
Week 1,Solo,Ghost Ghoulx,,NA East,43,450,49
Week 1,Solo,MrMavsTV,,NA East,44,450,48
Week 1,Solo,LG Tyler15,,NA East,45,450,48
Week 1,Solo,Lyricen,,NA East,46,450,48
Week 1,Solo,bergtheplug type,,NA East,47,450,48
Week 1,Solo,NC Khanada,,NA East,48,450,47
Week 1,Solo,Sleepyfn yt,,NA East,49,450,47
Week 1,Solo,Carbon Singl3,,NA East,50,450,47
Week 1,Solo,Zeiy.,,NA East,51,400,47
Week 1,Solo,SharpSZN,,NA East,52,400,47
Week 1,Solo,Pyro Voil,,NA East,53,400,47
Week 1,Solo,Twitch GooshFN,,NA East,54,400,47
Week 1,Solo,TwitchTV Walspar,,NA East,55,400,47
Week 1,Solo,Connoreo,,NA East,56,400,47
Week 1,Solo,E11 BlooTea,,NA East,57,400,46
Week 1,Solo,Wolfzy FA,,NA East,58,400,46
Week 1,Solo,Nine Brees,,NA East,59,400,46
Week 1,Solo,Symfuhny,,NA East,60,400,46
Week 1,Solo,LDamienS,,NA East,61,400,46
Week 1,Solo,Aj?y,,NA East,62,400,46
Week 1,Solo,MRKN Percently,,NA East,63,400,45
Week 1,Solo,CODE XAYJI,,NA East,64,400,45
Week 1,Solo,PIERXBL IS TRASH,,NA East,65,400,45
Week 1,Solo,ellahinator,,NA East,66,400,45
Week 1,Solo,Bolt Eclipsae,,NA East,67,400,45
Week 1,Solo,RBK JDW,,NA East,68,400,45
Week 1,Solo,NRG Zayt,,NA East,69,400,44
Week 1,Solo,CLG psalm,,NA East,70,400,44
Week 1,Solo,nuble on twitch,,NA East,71,400,44
Week 1,Solo,HydraFN,,NA East,72,400,44
Week 1,Solo,OwlFN,,NA East,73,400,44
Week 1,Solo,TillTV-,,NA East,74,400,44
Week 1,Solo,fireturtle34,,NA East,75,400,44
Week 1,Solo,MSF Clix,,NA East,76,350,43
Week 1,Solo,strëtch,,NA East,77,350,43
Week 1,Solo,rickishaw,,NA East,78,350,43
Week 1,Solo,GodNi?k,,NA East,79,350,43
Week 1,Solo,clarityG,,NA East,80,350,43
Week 1,Solo,S?aR JT,,NA East,81,350,43
Week 1,Solo,Statíc,,NA East,82,350,43
Week 1,Solo,code PLEASEBUILD,,NA East,83,350,43
Week 1,Solo,Twitch ABC_Trash,,NA East,84,350,43
Week 1,Solo,100T Blind.,,NA East,85,350,43
Week 1,Solo,Grov?,,NA East,86,350,43
Week 1,Solo,Mojo,,NA East,87,350,43
Week 1,Solo,JNJABA07,,NA East,88,350,43
Week 1,Solo,RBK JLove,,NA East,89,350,43
Week 1,Solo,YT Dom x,,NA East,90,350,43
Week 1,Solo,MoR Oorix,,NA East,91,350,43
Week 1,Solo,10bit,,NA East,92,350,43
Week 1,Solo,Tchad GG,,NA East,93,350,43
Week 1,Solo,Tetrah.,,NA East,94,350,43
Week 1,Solo,thn dany,,NA East,95,350,42
Week 1,Solo,E11 Grazca,,NA East,96,350,42
Week 1,Solo,Godkicks,,NA East,97,350,42
Week 1,Solo,FA NetZzRT,,NA East,98,350,42
Week 1,Solo,E11 Joseph,,NA East,99,350,42
Week 1,Solo,De?troy,,NA East,100,350,42
Week 3,Solo,Tfue,,NA East,1,5000,69
Week 3,Solo,KNG Unknown,,NA East,2,4000,67
Week 3,Solo,FaZe Funk,,NA East,3,3000,64
Week 3,Solo,Nittle GG,,NA East,4,2500,64
Week 3,Solo,CLG psalm,,NA East,5,2250,64
Week 3,Solo,FaZe Dubs.,,NA East,6,2000,64
Week 3,Solo,MSF Clix,,NA East,7,1750,63
Week 3,Solo,De?troy,,NA East,8,1500,60
Week 3,Solo,Ghost Snood,,NA East,9,1250,60
Week 3,Solo,Hogmanlolz,,NA East,10,1000,59
Week 3,Solo,Ghost Saf,,NA East,11,800,59
Week 3,Solo,ShawnClaude,,NA East,12,800,59
Week 3,Solo,MSF Famhood,,NA East,13,800,58
Week 3,Solo,Th? Uzi,,NA East,14,800,57
Week 3,Solo,yung cowculator,,NA East,15,800,57
Week 3,Solo,nanolite.,,NA East,16,800,56
Week 3,Solo,SEN Bugh?,,NA East,17,800,55
Week 3,Solo,E11 ??ART,,NA East,18,800,55
Week 3,Solo,EG JTruth,,NA East,19,800,55
Week 3,Solo,RBK JeR?,,NA East,20,800,54
Week 3,Solo,SoaR Scoped,,NA East,21,650,54
Week 3,Solo,E11 Joseph,,NA East,22,650,54
Week 3,Solo,SEN Animal,,NA East,23,650,54
