Player,RegionCode,Team,Nationality,KbmOrController,Age,Twitter
100 Ping No Wall,ASIA,Free Agent,,,,
100pingonJPsever,ASIA,Free Agent,,,,
101-Along.CN,ASIA,Free Agent,,,,
101-Zx.CN,ASIA,Free Agent,,,,
2lIﾂ,ASIA,Free Agent,,,,
2SNgNl,ASIA,Free Agent,,,,
4KPEC_C iww,ASIA,Free Agent,,,,
4ndy.,ASIA,Free Agent,,,,
4RaiF_GoRou,ASIA,Free Agent,,,,
4RaiF_min10ns,ASIA,Free Agent,,,,
4RaiF_Nagomin,ASIA,Free Agent,,,,
4RaiF_Tonbo,ASIA,Free Agent,,,,
4shly,ASIA,Free Agent,,,,
525KR,ASIA,Free Agent,,,,
5kyfull,ASIA,Free Agent,,,,
5等分のタスク,ASIA,Free Agent,,,,
8bit keizz,ASIA,Free Agent,,,,
A_sun,ASIA,Free Agent,,,,
Absorb.Genkiくん,ASIA,Free Agent,,,,
Absorb.こがわうビット,ASIA,Free Agent,,,,
AbyChasoツ,ASIA,Free Agent,,,,
Ac はるく,ASIA,Free Agent,,,,
Ac 息子ビクトリー,ASIA,Free Agent,,,,
Ac.FUDEN,ASIA,Free Agent,,,,
Ac.TayTayッッ,ASIA,Free Agent,,,,
Ac.TKplayer,ASIA,Free Agent,,,,
Ace1 CLZ,ASIA,Free Agent,,,,
Ace1 POSK,ASIA,Free Agent,,,,
Aiddle AmEYOIN,ASIA,Free Agent,,,,
Aiddle Vector,ASIA,Free Agent,,,,
Allude iwnl,ASIA,Free Agent,,,,
AlterEgo Feezle,ASIA,Free Agent,,,,
AlterEgo.dNis,ASIA,Free Agent,,,,
AlterEgo.KLOPZ,ASIA,Free Agent,,,,
AlterEgo.Mev,ASIA,Free Agent,,,,
AlterEgo.nomfu,ASIA,Free Agent,,,,
Altima Chipson,ASIA,Free Agent,,,,
Altima jozya,ASIA,Free Agent,,,,
Altima overStun,ASIA,Free Agent,,,,
Altima RIKI,ASIA,Free Agent,,,,
ANBU.Cabbage,ASIA,Free Agent,,,,
ANBU.Cyaniteツ,ASIA,Free Agent,,,,
ANBU.Demon,ASIA,Free Agent,,,,
ANBU.Howl,ASIA,Free Agent,,,,
ANBU.KygoFishy,ASIA,Free Agent,,,,
ANBU.sneakyFishy,ASIA,Free Agent,,,,
AnkmuかもしれないᎯ,ASIA,Free Agent,,,,
ANL-Aekou,ASIA,Free Agent,,,,
Ảrthur,ASIA,Free Agent,,,,
Astra めだまやき,ASIA,Free Agent,,,,
AT.Hinatarou,ASIA,Free Agent,,,,
Atlantis らいむ,ASIA,Free Agent,,,,
Atlas.Kune,ASIA,Free Agent,,,,
Autobahn Live,ASIA,Free Agent,,,,
Autobahn 토 란,ASIA,Free Agent,,,,
Ayatõ,ASIA,Free Agent,,,,
BaiYang.,ASIA,Free Agent,,,,
Baki_xoop,ASIA,Free Agent,,,,
BB C4rly,ASIA,Free Agent,,,,
BB FUKA,ASIA,Free Agent,,,,
BB Nuub,ASIA,Free Agent,,,,
BG Kurara,ASIA,Free Agent,,,,
BG Mayo,ASIA,Free Agent,,,,
BG ryu24,ASIA,Free Agent,,,,
BG Soxux,ASIA,Free Agent,,,,
BG かわいいぽんぺSG,ASIA,Free Agent,,,,
BG そふぃあだよおおおおおお,ASIA,Free Agent,,,,
blibli259919アグモン,ASIA,Free Agent,,,,
BlossoM JoKer,ASIA,Free Agent,,,,
BlossoM Tsunami,ASIA,Free Agent,,,,
BLS がちがち NinGDO,ASIA,Free Agent,,,,
Bobu xd,ASIA,Free Agent,,,,
Bot is fish,ASIA,Free Agent,,,,
BotHallo,ASIA,Free Agent,,,,
BotΔ,ASIA,Free Agent,,,,
Breeeze_びちゃ,ASIA,Free Agent,,,,
brokeboi adam,ASIA,Free Agent,,,,
brokeboi wh1te,ASIA,Free Agent,,,,
BRZ_sciy,ASIA,Free Agent,,,,
BRZ_Seafo,ASIA,Free Agent,,,,
BRZ_SouGaming,ASIA,Free Agent,,,,
Buny iwnl,ASIA,Free Agent,,,,
C9_Duty,ASIA,Free Agent,,,,
C9_Trona,ASIA,Free Agent,,,,
CA.CraNelu,ASIA,Free Agent,,,,
CA.Fuuru,ASIA,Free Agent,,,,
CA.Harukiyo,ASIA,Free Agent,,,,
CA.karakina,ASIA,Free Agent,,,,
çañ,ASIA,Free Agent,,,,
ChimeraPH,ASIA,Free Agent,,,,
Chubs.iwnl,ASIA,Free Agent,,,,
CieL ひろてぃー,ASIA,Free Agent,,,,
CODE CR-Scarlet,ASIA,Free Agent,,,,
CODE GE_Eraser,ASIA,Free Agent,,,,
CODE NIKKEYEZ,ASIA,Free Agent,,,,
Col はいぱー,ASIA,Free Agent,,,,
Col_Akairo YT,ASIA,Free Agent,,,,
Col_鼻毛を抜きたいなおや,ASIA,Free Agent,,,,
Comi風,ASIA,Free Agent,,,,
CP_Cursive,ASIA,Free Agent,,,,
CP_Dabzi,ASIA,Free Agent,,,,
CP_Doom,ASIA,Free Agent,,,,
CP_Mellow,ASIA,Free Agent,,,,
CP_Moon,ASIA,Free Agent,,,,
CR.Arisakaaa,ASIA,Free Agent,,,,
CR.Cornn,ASIA,Free Agent,,,,
CR.Crazyラマ,ASIA,Free Agent,,,,
CR.Daruma,ASIA,Free Agent,,,,
CR.Francisco,ASIA,Free Agent,,,,
CR.Scarlet No.1,ASIA,Free Agent,,,,
CR.Toppy xd,ASIA,Free Agent,,,,
CR.UyuRiru,ASIA,Free Agent,,,,
CR.VanilLa,ASIA,Free Agent,,,,
CR.Yusеа,ASIA,Free Agent,,,,
CR.がちがち bell,ASIA,Free Agent,,,,
CR.がちがち RizArt,ASIA,Free Agent,,,,
CR.がちがち TAKAMURA,ASIA,Free Agent,,,,
crayon masao,ASIA,Free Agent,,,,
cresc.Ronau.D,ASIA,Free Agent,,,,
cresc.べるとろ,ASIA,Free Agent,,,,
cresc.ゆりぃ,ASIA,Free Agent,,,,
Crooked Sienna,ASIA,Free Agent,,,,
Crysticfyqq,ASIA,Free Agent,,,,
cxv.Puzzle,ASIA,Free Agent,,,,
cxv.Puzzle_ようつべ,ASIA,Free Agent,,,,
cxv.やせのっぽ,ASIA,Free Agent,,,,
D1NK -ZANE-,ASIA,Free Agent,,,,
D7 Meiy,ASIA,Free Agent,,,,
DamzesGG,ASIA,Free Agent,,,,
Dee Lanz,ASIA,Free Agent,,,,
Demon X -ZANE-,ASIA,Free Agent,,,,
DNA - Hunter,ASIA,Free Agent,,,,
Drake ごちゃまる,ASIA,Free Agent,,,,
Drake ちょこふぁっしょん,ASIA,Free Agent,,,,
DreamZrn,ASIA,Free Agent,,,,
DTN Killme,ASIA,Free Agent,,,,
DTN Nasubi,ASIA,Free Agent,,,,
DUALSHOCK４,ASIA,Free Agent,,,,
Ecliрseツ,ASIA,Free Agent,,,,
Ɍefrɇt,ASIA,Free Agent,,,,
EON.hillhush,ASIA,Free Agent,,,,
EON.wallrev,ASIA,Free Agent,,,,
Evolve peNTa,ASIA,Free Agent,,,,
EVOS.H4dez,ASIA,Free Agent,,,,
EVOS.Prototype-,ASIA,Free Agent,,,,
EVOS.Qbo,ASIA,Free Agent,,,,
EVOS.Qbo POPMIE,ASIA,Free Agent,,,,
EVOS.Sams,ASIA,Free Agent,,,,
ExiLed ID-Aeeryn,ASIA,Free Agent,,,,
Exousia Archie_o,ASIA,Free Agent,,,,
Exousia Kei_o,ASIA,Free Agent,,,,
exscind sucks,ASIA,Free Agent,,,,
EZ Havik,ASIA,Free Agent,,,,
Ez Scrapy7331,ASIA,Free Agent,,,,
FA GilbyMars,ASIA,Free Agent,,,,
FA MILA,ASIA,Free Agent,,,,
FA Zuity iwnl,ASIA,Free Agent,,,,
fate qt,ASIA,Free Agent,,,,
fev1y,ASIA,Free Agent,,,,
First.Laquax,ASIA,Free Agent,,,,
FL.Salvo,ASIA,Free Agent,,,,
FL.Spirit,ASIA,Free Agent,,,,
flipz03,ASIA,Free Agent,,,,
flo1zy buterbrod,ASIA,Free Agent,,,,
FR._.Apxli iwnl,ASIA,Free Agent,,,,
FR._.Aqxli iwnl,ASIA,Free Agent,,,,
