Player,RegionCode,Team,Nationality,KbmOrController,Age,Twitter
radius loves you,OCE,Chiefs Esports Club,,,,
pаrpy,OCE,Chiefs Esports Club,,,,
slаyа,OCE,Chiefs Esports Club,,,,
westyfishy,OCE,Mindfreak,,,,
JAM Gheez,OCE,JAM,,,,
zorehfishy,OCE,JAM,,,,
Psyper,OCE,Legacy Esports,,,,
RNG mrfreshaѕian,OCE,Renegades,,,,
RNG_x2Jesѕe,OCE,Renegades,,,,
RNG Herѕhicals,OCE,Renegades,,,,
Ghost Zаrby,OCE,Ghost Gaming,,,,
Ghost Trаpped,OCE,Ghost Gaming,,,,
stothers,OCE,Free Agent,,,,
WhiteMarshmallow,OCE,Free Agent,,,,
Jake ж,OCE,Free Agent,,,,
nneelvn nedyah,OCE,Free Agent,,,,
Wryku,OCE,Free Agent,,,,
Twitch Wilkco,OCE,Free Agent,,,,
Bumbleskuxx,OCE,Free Agent,,,,
ttv.RjPlaysAU,OCE,Free Agent,,,,
m1 is a pug,OCE,Free Agent,,,,
bliaey,OCE,Free Agent,,,,
amity xzhilez,OCE,Free Agent,,,,
Теmpеst,OCE,Free Agent,,,,
Dog死,OCE,Free Agent,,,,
heartt.,OCE,Free Agent,,,,
Jamesツ.,OCE,Free Agent,,,,
Sevenn.,OCE,Free Agent,,,,
sunz with buns,OCE,Free Agent,,,,
K-OS_theory,OCE,Free Agent,,,,
iTropx ttv,OCE,Free Agent,,,,
Aussie Antics,OCE,Free Agent,,,,
M W A C K S,OCE,Free Agent,,,,
Twitch KquidAU,OCE,Free Agent,,,,
zoo.gradz,OCE,Free Agent,,,,
acuator,OCE,Free Agent,,,,
Kyleℭ,OCE,Free Agent,,,,
AMR clean,OCE,Free Agent,,,,
M.nkey,OCE,Free Agent,,,,
Oddity Gibbo,OCE,Free Agent,,,,
twitch xcelsiors,OCE,Free Agent,,,,
Zooba,OCE,Free Agent,,,,
Papi Braith,OCE,Free Agent,,,,
TTV Xerty09,OCE,Free Agent,,,,
Le0p0ld.,OCE,Free Agent,,,,
lil ojojoj,OCE,Free Agent,,,,
Combursty.TTV,OCE,Free Agent,,,,
Twitch oZvex,OCE,Free Agent,,,,
Twitch Pogui,OCE,Free Agent,,,,
FURY Precise,OCE,Free Agent,,,,
Mustiz.,OCE,Free Agent,,,,
fweshie anchod,OCE,Free Agent,,,,
zi爱,OCE,Free Agent,,,,
Jicklé,OCE,Free Agent,,,,
zedоx,OCE,Free Agent,,,,
Balancy.,OCE,Free Agent,,,,
SKPete,OCE,Free Agent,,,,
Fuith,OCE,Free Agent,,,,
ƬӨMΛZ,OCE,Free Agent,,,,
Farmboy Flakey,OCE,Free Agent,,,,
SerpentAU,OCE,Free Agent,,,,
Paralympic EFx,OCE,Free Agent,,,,
Wοdz,OCE,Free Agent,,,,
脑震荡.,OCE,Free Agent,,,,
Rahcks,OCE,Free Agent,,,,
pendragn lol,OCE,Free Agent,,,,
noiсe,OCE,Free Agent,,,,
twitchflarencyy,OCE,Free Agent,,,,
slace.,OCE,Free Agent,,,,
Рfyu,OCE,Free Agent,,,,
TwitchSmitherzz,OCE,Free Agent,,,,
kulture is cute,OCE,Free Agent,,,,
јaruto,OCE,Free Agent,,,,
undeys ya dig,OCE,Free Agent,,,,
Radical.ツ,OCE,Free Agent,,,,
FURY Doс,OCE,Free Agent,,,,
Alpha Kushi,OCE,Free Agent,,,,
аraki,OCE,Free Agent,,,,
AeroOCE,OCE,Free Agent,,,,
Crimssn,OCE,Free Agent,,,,
Larsinz,OCE,Free Agent,,,,
TTV vkrogue,OCE,Free Agent,,,,
TwitchVeelzOCE,OCE,Free Agent,,,,
OwMar_,OCE,Free Agent,,,,
yt minkin,OCE,Free Agent,,,,
twitter MaceAye,OCE,Free Agent,,,,
Evorsers,OCE,Free Agent,,,,
Distancе,OCE,Free Agent,,,,
Crip Restoration,OCE,Free Agent,,,,
Dіmi,OCE,Free Agent,,,,
Just Phjll,OCE,Free Agent,,,,
DunkGod,OCE,Free Agent,,,,
Synthss,OCE,Free Agent,,,,
dunlop main,OCE,Free Agent,,,,
ⓒⓞⓡⓟⓢⓔ,OCE,Free Agent,,,,
Twitter RaaqNZ,OCE,Free Agent,,,,
Tesla ω,OCE,Free Agent,,,,
Twitch xDilado,OCE,Free Agent,,,,
forbian wall,OCE,Free Agent,,,,
ODT Jonesy,OCE,Free Agent,,,,
Vexus,OCE,Free Agent,,,,
elim iwnl,OCE,Free Agent,,,,
Stellar Zokur,OCE,Free Agent,,,,
JackTheSurfer,OCE,Free Agent,,,,
Rеlㅤ,OCE,Free Agent,,,,
xhynz 23rd,OCE,Free Agent,,,,
CHOP CONE,OCE,Free Agent,,,,
ImJaay_,OCE,Free Agent,,,,
Thradoz,OCE,Free Agent,,,,
ShaneBK Twitch,OCE,Free Agent,,,,
Code Kronic,OCE,Free Agent,,,,
Azzure ttv,OCE,Free Agent,,,,
Skyz,OCE,Free Agent,,,,
Twitch.Altro47,OCE,Free Agent,,,,
Default Sprays,OCE,Free Agent,,,,
CHOP LIGHT PULL,OCE,Free Agent,,,,
Nat ヽ,OCE,Free Agent,,,,
hrѕt,OCE,Free Agent,,,,
amazedtm,OCE,Free Agent,,,,
youtube axmie,OCE,Free Agent,,,,
AMR Cheeezzy,OCE,Free Agent,,,,
Ρrae,OCE,Free Agent,,,,
Biocyder,OCE,Free Agent,,,,
sozmann 奧,OCE,Free Agent,,,,
kumo 雲,OCE,Free Agent,,,,
newbatoon2006,OCE,Free Agent,,,,
T1 Eden,OCE,Free Agent,,,,
fat maggots,OCE,Free Agent,,,,
ok calm,OCE,Free Agent,,,,
JustaClap,OCE,Free Agent,,,,
kieren just nut,OCE,Free Agent,,,,
Bandana ϕ,OCE,Free Agent,,,,
Falta.,OCE,Free Agent,,,,
Zouct,OCE,Free Agent,,,,
50ㅤ,OCE,Free Agent,,,,
Movrickz,OCE,Free Agent,,,,
Ｍuzzy,OCE,Free Agent,,,,
noah死,OCE,Free Agent,,,,
alwaysㅤthinkㅤahe,OCE,Free Agent,,,,
tysonjames,OCE,Free Agent,,,,
Cosmo The Ape,OCE,Free Agent,,,,
trimmers.,OCE,Free Agent,,,,
nasri ツ,OCE,Free Agent,,,,
DaturboSpool,OCE,Free Agent,,,,
skyla xd,OCE,Free Agent,,,,
fbfaf,OCE,Free Agent,,,,
Ozean Ozean,OCE,Free Agent,,,,
DЕMON.,OCE,Free Agent,,,,
Hooligan Venihcy,OCE,Free Agent,,,,
Torrchi,OCE,Free Agent,,,,
Banjo Is Fat,OCE,Free Agent,,,,
Lapex .,OCE,Free Agent,,,,
AM A SCAMMER,OCE,Free Agent,,,,
bloods devour,OCE,Free Agent,,,,
nade steal wall,OCE,Free Agent,,,,
Esky iwnl,OCE,Free Agent,,,,
Cliqahh,OCE,Free Agent,,,,
Draftsyfishy,OCE,Free Agent,,,,
grav .,OCE,Free Agent,,,,
vZmas No Thumbs,OCE,Free Agent,,,,
Heni.,OCE,Free Agent,,,,
egirl slayer red,OCE,Free Agent,,,,
Twitch Sorif,OCE,Free Agent,,,,
TTV FraserM_uwu,OCE,Free Agent,,,,
Purē Spirit,OCE,Free Agent,,,,
tyraxe,OCE,Free Agent,,,,
αnders,OCE,Free Agent,,,,
YoutubeKillshock,OCE,Free Agent,,,,
aleccfishy,OCE,Free Agent,,,,
Alpha Barbuxx,OCE,Free Agent,,,,
Origins .,OCE,Free Agent,,,,
HazzaAU,OCE,Free Agent,,,,
109 iwnl,OCE,Free Agent,,,,
agbays,OCE,Free Agent,,,,
Donkеy.,OCE,Free Agent,,,,
Xaronazure,OCE,Free Agent,,,,
Meekhaа,OCE,Free Agent,,,,
Idontcare67,OCE,Free Agent,,,,
Ghostagez,OCE,Free Agent,,,,
Alpha Spag,OCE,Free Agent,,,,
xBaker1,OCE,Free Agent,,,,
Spizzа,OCE,Free Agent,,,,
Northiе,OCE,Free Agent,,,,
AV.,OCE,Free Agent,,,,
deangaz,OCE,Free Agent,,,,
just maj1n,OCE,Free Agent,,,,
Jaсe,OCE,Free Agent,,,,
Vіnk,OCE,Free Agent,,,,
Youtube Vujcich,OCE,Free Agent,,,,
strafе,OCE,Free Agent,,,,
mqz,OCE,Free Agent,,,,
youtube kov,OCE,Free Agent,,,,
Eshz.,OCE,Free Agent,,,,
CG Ckyll,OCE,Free Agent,,,,
abelixe,OCE,Free Agent,,,,
Chapo_3YT,OCE,Free Agent,,,,
Јax,OCE,Free Agent,,,,
Ｄａｚｚｅｒ,OCE,Free Agent,,,,
0 ping apolox,OCE,Free Agent,,,,
Drekary,OCE,Free Agent,,,,
Hopeﾠ,OCE,Free Agent,,,,
Twitch MythOCE,OCE,Free Agent,,,,
SpееdyND,OCE,Free Agent,,,,
Dustу,OCE,Free Agent,,,,
UnknownRGH,OCE,Free Agent,,,,
TTV Lufious,OCE,Free Agent,,,,
Naan Bread,OCE,Free Agent,,,,
enlightㅤ,OCE,Free Agent,,,,
pyoto,OCE,Free Agent,,,,
Twitch Kingmosss,OCE,Free Agent,,,,
Bolа,OCE,Free Agent,,,,
juz .,OCE,Free Agent,,,,
hillo monster,OCE,Free Agent,,,,
tzuуu,OCE,Free Agent,,,,
botlan.,OCE,Free Agent,,,,
Polar Snarky,OCE,Free Agent,,,,
bliņk,OCE,Free Agent,,,,
Chur,OCE,Free Agent,,,,
KingKyza.,OCE,Free Agent,,,,
synfishyy,OCE,Free Agent,,,,
deap .,OCE,Free Agent,,,,
I GET 60 FPS,OCE,Free Agent,,,,
outsіder,OCE,Free Agent,,,,
SDW Kezzaa,OCE,Free Agent,,,,
2Faulty,OCE,Free Agent,,,,
Gаncho,OCE,Free Agent,,,,
ㅤRuthless,OCE,Free Agent,,,,
BES hype,OCE,Free Agent,,,,
LachieAU,OCE,Free Agent,,,,
Big Nips Naapr,OCE,Free Agent,,,,
Lupius .,OCE,Free Agent,,,,
Happieツ.,OCE,Free Agent,,,,
T1 Renzh3,OCE,Free Agent,,,,
Max3243245679890,OCE,Free Agent,,,,
Postman Patty,OCE,Free Agent,,,,
Bray .,OCE,Free Agent,,,,
IcyZ .,OCE,Free Agent,,,,
SHADE Snowy,OCE,Free Agent,,,,
Stevo lol,OCE,Free Agent,,,,
5amer,OCE,Free Agent,,,,
Meltzy lost wall,OCE,Free Agent,,,,
TTV zDeadeye,OCE,Free Agent,,,,
voru munks u,OCE,Free Agent,,,,
Spraz YT,OCE,Free Agent,,,,
Cat 夢,OCE,Free Agent,,,,
twitter flyyfn,OCE,Free Agent,,,,
Wiǀǀ,OCE,Free Agent,,,,
ggez meaty,OCE,Free Agent,,,,
Twitch StubzZ,OCE,Free Agent,,,,
noodlefishy,OCE,Free Agent,,,,
Twitch HarleyFN,OCE,Free Agent,,,,
Linkㅤㅤㅤ,OCE,Free Agent,,,,
turps,OCE,Free Agent,,,,
jesus guides me,OCE,Free Agent,,,,
silvah.,OCE,Free Agent,,,,
Veyzor,OCE,Free Agent,,,,
tired -,OCE,Free Agent,,,,
Gay-magician,OCE,Free Agent,,,,
マクリーミー,OCE,Free Agent,,,,
LunR loves you,OCE,Free Agent,,,,
sаqo,OCE,Free Agent,,,,
Lx Zealous,OCE,Free Agent,,,,
Oreo takes walls,OCE,Free Agent,,,,
Honour Dylan,OCE,Free Agent,,,,
Leavzar -iwnl-,OCE,Free Agent,,,,
HazzWazz,OCE,Free Agent,,,,
Vіncey,OCE,Free Agent,,,,
Billaay,OCE,Free Agent,,,,
Pumpkinㅤㅤㅤㅤ ㅤ,OCE,Free Agent,,,,
Tealix,OCE,Free Agent,,,,
2eㅤ,OCE,Free Agent,,,,
Rubsyy,OCE,Free Agent,,,,
