Region,Team,Player name,Nationality,,Age,AVG POS,W1,W3,W5,W7,W9,Qualified,Times qualified,KBM/Controller
Europe,E11 Gaming,Stompy,Austria,,17,165,1,-,644,4,11,W1(#1),2,KB&M
Europe,Team Queso,Prisi0n3r0,Spain,,19,347.5,2,-,-,693,-,W1(#2),1,KB&M
Europe,NRG Esports,Benjyfishy,United Kingdom of Great Britain and Northern Ireland (the),,15,38.8,3,25,62,11,93,W1(#3),1,KB&M
Europe,Helsinki Reds,BELAEU,Finland,,23,210,4,390,242,340,74,W1(#4),1,KB&M
Europe,Gambit Esports,letw1k3,Russian Federation (the) [v],,14,612.5,5,338,469,-,1638,W1(#5),1,KB&M
Europe,LeStream Esport,Nayte,France [l],,16,275.8,6,336,474,539,24,W1(#6),1,KB&M
Europe,Free Agent,DiegoGB,Spain,,19,237.2,7,10,168,543,458,W1(#7),1,KB&M
Europe,Free Agent,ÐRG,Belgium,,15,364,8,736,422,478,176,W1(#8),1,KB&M
Europe,Free Agent,Luki,Poland,,15,311.5,622,1,-,-,-,W3(#1),1,KB&M
Europe,Raised By Kings,LeftEye,Sweden,,21,525,1060,2,-,944,94,W3(#2),1,KB&M
Europe,Free Agent,Fledermoys,Germany,,18,185,20,3,-,-,532,W3(#3),1,KB&M
Europe,Free Agent,Tchub,Sweden,,23,336,49,4,955,-,-,W3(#4),1,KB&M
Europe,Free Agent,CoreGamingg,United Kingdom of Great Britain and Northern Ireland (the),,21,260.5,323,5,265,-,449,W3(#5),1,KB&M
Europe,Executors One,Wakie,Sweden,,14,576.8,98,6,-,1816,387,W3(#6),1,KB&M
Europe,Free Agent,lolb0om,Ireland,,16,54.6,70,7,9,135,52,W3(#7),1,KB&M
Europe,Team Secret,Domentos,Latvia,,18,58.5,47,8,-,19,160,W3(#8),1,KB&M
Europe,Team Atlantis,Lеtshe,Germany,,15,31.3,84,9,1,-,-,W5(#1),1,Controller
Europe,AGO Esports,JarkoS,Poland,,17,319.8,431,414,2,325,427,W5(#2),1,KB&M
Europe,Free Agent,Klusia,Denmark,,18,64.6,107,97,3,104,12,W5(#3),1,KB&M
Europe,NRG Esports,MrSavageM,Norway,,14,244.5,-,19,4,51,904,W5(#4),1,KB&M
Europe,Ghost Gaming,Issa,Iraq,,17,206.3,21,760,5,39,-,W5(#5),1,Controller
Europe,Free Agent,Snayzy,France [l],,16,735.3,1412,788,6,-,-,W5(#6),1,KB&M
Europe,Fnatic,Smeef,United Kingdom of Great Britain and Northern Ireland (the),,18,584.7,-,1012,7,-,735,W5(#7),1,KB&M
Europe,Train Hard ,BlastR,France [l],,16,347,34,11,8,1567,115,W5(#8),1,KB&M
Europe,Cooler Esport,Aqua,Austria,,16,407.8,1046,67,182,1,743,W7(#1),1,KB&M
Europe,Free Agent,mārteeṉeu,Czechia [i],,14,230,-,656,32,2,-,W7(#2),1,KB&M
Europe,Free Agent,Erouce,Sweden,,18,322.2,188,256,1036,3,128,W7(#3),1,Controller
Europe,Train Hard ,Robabz,France [l],,14,255.3,-,-,22,5,739,W7(#5),1,KB&M
Europe,Free Agent,Skailereu,Czechia [i],,16,494.5,307,-,110,6,1555,W7(#6),1,KB&M
Europe,Solary,Kinstaar,Switzerland,,19,124,86,451,19,7,57,W7(#7),1,KB&M
Europe,Team Atlantis,K1nzell,Slovenia,,16,162.6,113,134,47,8,511,W7(#8),1,KB&M
Europe,Gambit Esports,fwexY,Germany,,16,586.2,491,301,1123,9,1007,W7(#9),1,KB&M
Europe,Free Agent,Endretta,Norway,,14,248.8,291,127,215,610,1,W9(#1),1,KB&M
Europe,Valhalla Vikings,Crue,Sweden,,16,47.2,14,18,63,139,2,W9(#2),1,KB&M
Europe,LeStream Esport,Skite,France [l],,19,224,231,488,74,324,3,W9(#3),1,KB&M
Europe,Free Agent,Lygth,Germany,,13,770.8,1315,-,310,1454,4,W9(#4),1,KB&M
Europe,Team Secret,Mongraal,United Kingdom of Great Britain and Northern Ireland (the),,14,549.8,16,1651,1024,53,5,W9(#5),1,KB&M
Europe,Free Agent,Emqu,Germany,,15,442.3,787,534,-,-,6,W9(#6),1,KB&M
Europe,Dynamind,Teeq,Poland,,16,81.5,43,252,24,-,7,W9(#7),1,KB&M
Europe,LeStream Esport,Blaxou,France [l],,17,60.8,13,81,14,188,8,W9(#8),1,KB&M
NA East,Sentinels,Bugha,United States of America (the),,16,23.2,1,17,19,54,25,W1(#1),1,KB&M
NA East,FaZe Clan,Dubs,United States of America (the),,16,75.2,2,6,1,3,364,W1(#2),4,KB&M
NA East,Ghost Gaming,Bizzle,United States of America (the),,21,491,3,891,1395,8,158,W1(#3),1,KB&M
NA East,Team Solomid,Comadon,United States of America (the),,14,127,4,200,88,216,-,W1(#4),1,KB&M
NA East,Team Liquid,Vivid,United States of America (the),,21,153.7,5,126,-,-,330,W1(#5),1,KB&M
NA East,100 Thieves,Ceice,United States of America (the),,18,467,6,357,-,1271,234,W1(#6),1,KB&M
NA East,Free Agent,Tfue,United States of America (the),,21,187.8,127,1,-,5,618,W3(#1),2,KB&M
NA East,Team Kungarna,Unknown,United States of America (the),,15,8.7,21,2,-,-,3,W3(#2),2,Controller
NA East,FaZe Clan,FunkBomb,United States of America (the),,23,693.6,388,3,93,1781,1203,W3(#3),1,KB&M
NA East,Free Agent,Nittle,United States of America (the),,15,335,19,4,818,699,135,W3(#4),1,KB&M
NA East,Counter Logic Gaming,Psalm,United States of America (the),,24,353,70,5,275,984,431,W3(#5),1,KB&M
NA East,Misfits Gaming,Clix,United States of America (the),,14,193,76,7,3,878,1,W3(#7),3,KB&M
NA East,NRG Esports,Zayt,Canada,,19,434.2,69,1191,2,698,211,W5(#2),1,KB&M
NA East,Free Agent,RogueShark,United States of America (the),,17,55.3,22,74,4,-,121,W5(#4),1,KB&M
NA East,Riot Squad Esports,kolorfull,Canada,,15,268,594,29,5,701,11,W5(#5),1,KB&M
NA East,FaZe Clan,Megga,United States of America (the),,14,360,1621,113,6,19,41,W5(#6),1,KB&M
NA East,Team Envy,Bucke,United States of America (the),,15,599,236,33,7,1953,766,W5(#7),1,KB&M
NA East,100 Thieves,Klass,United States of America (the),,16,482.6,487,408,8,1483,27,W5(#8),1,KB&M
NA East,Free Agent,ClarityG,United States of America (the),,18,145,80,46,596,1,2,W7(#1),2,KB&M
NA East,Free Agent,Reverse2k,United States of America (the),,18,307.8,126,181,81,2,1149,W7(#2),1,KB&M
NA East,Free Agent,Astonish,United States of America (the),,19,134,350,120,131,4,65,W7(#4),1,Controller
NA East,Free Agent,Luneze,United States of America (the),,20,83.3,-,35,189,6,103,W7(#6),1,KB&M
NA East,Free Agent,Chenkinz,United States of America (the),,20,685.5,1406,-,244,7,1085,W7(#7),1,KB&M
NA East,Free Agent,Fatch,Canada,,15,50,-,-,-,8,92,W7(#8),1,KB&M
NA East,Free Agent,Kawzmik,United States of America (the),,14,308.3,-,413,743,73,4,W9(#4),1,Controller
NA East,Free Agent,Touzii,United States of America (the),,15,310,-,933,90,212,5,W9(#5),1,Controller
NA East,Free Agent,Legedien,United States of America (the),,20,784.2,327,1337,328,1923,6,W9(#6),1,KB&M
NA East,Sentinels,Aspect,United States of America (the),,16,366,439,889,480,15,7,W9(#7),1,KB&M
NA East,Free Agent,Hornet,United States of America (the),,22,149.4,274,112,37,316,8,W9(#8),1,KB&M
NA East,Lazarus Esports,Kreo,United States of America (the),,18,57.3,14,-,-,149,9,W9(#9),1,KB&M
NA West,Free Agent,snow,United States of America (the),,17,260,1,451,253,-,335,W1(#1),1,KB&M
NA West,Team Liquid,Riversan,United States of America (the),,16,115,2,39,1,418,-,W1(#2),2,KB&M
NA West,Team Kungarna,EpikWhale,United States of America (the),,16,74.6,61,1,61,87,163,W3(#1),1,KB&M
NA West,Free Agent,karhu,Finland,,15,522.8,712,2,276,-,1101,W3(#2),1,KB&M
NA West,World Best Gaming,Rhux,United States of America (the),,24,187.3,565,35,2,-,147,W5(#2),1,KB&M
NA West,Free Agent,Pzuhs,United States of America (the),,17,23.5,-,-,3,-,44,W5(#3),1,KB&M
NA West,World Best Gaming,Pika,United States of America (the),,20,57,131,145,6,1,2,W7(#1),2,KB&M
NA West,Free Agent,4DRStorm,United States of America (the),,16,249.8,72,346,9,2,820,W7(#2),1,KB&M
NA West,Free Agent,Arkhram,United States of America (the),,15,82.4,205,66,13,127,1,W9(#1),1,KB&M
NA West,Free Agent,Herrions,United States of America (the),,20,37.8,18,38,100,30,3,W9(#3),1,KB&M
Brazil,Free Agent,Leleo,Brazil,,16,75.6,1,22,39,23,293,W1(#1),1,KB&M
Brazil,Free Agent,Lasers,Brazil,,18,316.8,292,1,7,18,1266,W3(#1),1,KB&M
Brazil,Free Agent,kurtz,Brazil,,14,102.8,27,2,386,46,53,W3(#2),1,KB&M
Brazil,Free Agent,drakoNz,Brazil,,22,58.4,25,221,1,16,29,W5(#1),1,KB&M
Brazil,Free Agent,NICKS,Brazil,,13,20,2,49,3,1,45,W7(#1),1,KB&M
Brazil,9z,k1ng,Argentina,,13,31.8,29,4,117,2,7,W7(#2),1,KB&M
Brazil,Free Agent,Clipnode,Argentina,,17,66,69,225,11,24,1,W9(#1),1,KB&M
Asia,OP GAMING,FaxFox,Korea (the Republic of) [p],,17,24.2,1,76,35,1,8,W1(#1),2,KB&M
Asia,OP GAMING,Banny,Korea (the Republic of) [p],,18,50.4,22,1,109,65,55,W3(#1),1,KB&M
Asia,Crazy Raccoon,Takamura,Japan,,16,11,5,2,15,11,22,W3(#2),1,KB&M
Asia,Meta Gaming,Peterpan,Korea (the Republic of) [p],,18,130.2,53,7,1,17,573,W5(#1),1,KB&M
Asia,Meta Gaming,Hood.J,Korea (the Republic of) [p],,16,67,30,9,280,1,15,W7(#1),1,KB&M
Asia,SK Telecom T1,Arius,Korea (the Republic of) [p],,19,54.6,39,40,88,2,104,W7(#2),1,KB&M
Asia,Free Agent,Maufin,Japan,,15,111.8,467,54,17,20,1,W9(#1),1,KB&M
Oceania,Chiefs Esports,slaya,New Zealand,,17,69.4,1,8,29,248,61,W1(#1),1,KB&M
Oceania,Free Agent,Cat ,Australia [b],,14,216,4,1,654,391,30,W3(#1),1,KB&M
