# ----------------------------------------
# All Web Site Data
# Searches by Player and Date
# 20191020-20191026
# ----------------------------------------

Event Label,Date,Total Events,Unique Events,Event Value,Avg. Value
86273,20191025,11,6,"949,003","86,273.00"
165390,20191022,5,5,"826,950","165,390.00"
165390,20191025,5,4,"826,950","165,390.00"
165390,20191026,5,1,"826,950","165,390.00"
89108,20191022,8,2,"712,864","89,108.00"
89108,20191026,8,5,"712,864","89,108.00"
165390,20191024,4,3,"661,560","165,390.00"
69174,20191025,8,3,"553,392","69,174.00"
69015,20191026,8,4,"552,120","69,015.00"
89108,20191023,6,2,"534,648","89,108.00"
46082,20191025,11,9,"506,902","46,082.00"
124928,20191021,4,1,"499,712","124,928.00"
165486,20191024,3,1,"496,458","165,486.00"
165308,20191024,3,1,"495,924","165,308.00"
69599,20191025,7,3,"487,193","69,599.00"
120918,20191021,4,3,"483,672","120,918.00"
28853,20191022,16,13,"461,648","28,853.00"
50752,20191024,9,2,"456,768","50,752.00"
152217,20191026,3,2,"456,651","152,217.00"
113703,20191021,4,3,"454,812","113,703.00"
89108,20191020,5,3,"445,540","89,108.00"
84676,20191023,5,3,"423,380","84,676.00"
84676,20191025,5,3,"423,380","84,676.00"
76201,20191025,5,2,"381,005","76,201.00"
126297,20191020,3,1,"378,891","126,297.00"
28853,20191020,13,11,"375,089","28,853.00"
74396,20191023,5,1,"371,980","74,396.00"
120918,20191024,3,3,"362,754","120,918.00"
89108,20191021,4,2,"356,432","89,108.00"
118555,20191026,3,1,"355,665","118,555.00"
118433,20191020,3,1,"355,299","118,433.00"
117864,20191026,3,1,"353,592","117,864.00"
69397,20191025,5,5,"346,985","69,397.00"
69121,20191023,5,4,"345,605","69,121.00"
68969,20191026,5,1,"344,845","68,969.00"
68925,20191025,5,3,"344,625","68,925.00"
68919,20191025,5,4,"344,595","68,919.00"
114574,20191022,3,2,"343,722","114,574.00"
113703,20191024,3,3,"341,109","113,703.00"
112514,20191026,3,1,"337,542","112,514.00"
111452,20191024,3,2,"334,356","111,452.00"
165497,20191022,2,1,"330,994","165,497.00"
165308,20191025,2,2,"330,616","165,308.00"
157197,20191025,2,1,"314,394","157,197.00"
154570,20191022,2,1,"309,140","154,570.00"
154527,20191020,2,1,"309,054","154,527.00"
43820,20191022,7,4,"306,740","43,820.00"
43617,20191024,7,6,"305,319","43,617.00"
50752,20191021,6,4,"304,512","50,752.00"
73973,20191021,4,1,"295,892","73,973.00"
28853,20191021,10,10,"288,530","28,853.00"
28853,20191024,10,10,"288,530","28,853.00"
71905,20191021,4,3,"287,620","71,905.00"
140277,20191021,2,1,"280,554","140,277.00"
140065,20191025,2,1,"280,130","140,065.00"
69174,20191026,4,3,"276,696","69,174.00"
69164,20191025,4,3,"276,656","69,164.00"
69079,20191023,4,1,"276,316","69,079.00"
69079,20191026,4,1,"276,316","69,079.00"
69029,20191025,4,3,"276,116","69,029.00"
89108,20191024,3,2,"267,324","89,108.00"
43933,20191025,6,3,"263,598","43,933.00"
43668,20191025,6,3,"262,008","43,668.00"
43626,20191024,6,5,"261,756","43,626.00"
28889,20191022,9,6,"260,001","28,889.00"
129936,20191024,2,1,"259,872","129,936.00"
86401,20191020,3,2,"259,203","86,401.00"
128237,20191021,2,2,"256,474","128,237.00"
128237,20191024,2,2,"256,474","128,237.00"
50503,20191025,5,3,"252,515","50,503.00"
124797,20191021,2,1,"249,594","124,797.00"
124797,20191022,2,1,"249,594","124,797.00"
124493,20191025,2,1,"248,986","124,493.00"
124005,20191024,2,1,"248,010","124,005.00"
122912,20191025,2,1,"245,824","122,912.00"
121919,20191020,2,1,"243,838","121,919.00"
121915,20191021,2,1,"243,830","121,915.00"
121851,20191024,2,1,"243,702","121,851.00"
121745,20191025,2,2,"243,490","121,745.00"
120755,20191025,2,1,"241,510","120,755.00"
120455,20191020,2,2,"240,910","120,455.00"
120455,20191025,2,2,"240,910","120,455.00"
118291,20191023,2,1,"236,582","118,291.00"
46845,20191022,5,2,"234,225","46,845.00"
116410,20191024,2,1,"232,820","116,410.00"
115273,20191024,2,1,"230,546","115,273.00"
76315,20191022,3,2,"228,945","76,315.00"
56965,20191024,4,2,"227,860","56,965.00"
112790,20191022,2,1,"225,580","112,790.00"
74517,20191021,3,1,"223,551","74,517.00"
44120,20191022,5,1,"220,600","44,120.00"
44036,20191021,5,5,"220,180","44,036.00"
73333,20191025,3,2,"219,999","73,333.00"
73319,20191025,3,1,"219,957","73,319.00"
43654,20191022,5,2,"218,270","43,654.00"
43626,20191025,5,3,"218,130","43,626.00"
43609,20191022,5,4,"218,045","43,609.00"
43609,20191026,5,3,"218,045","43,609.00"
72300,20191026,3,3,"216,900","72,300.00"
72056,20191025,3,3,"216,168","72,056.00"
72056,20191026,3,2,"216,168","72,056.00"
71759,20191026,3,2,"215,277","71,759.00"
71593,20191025,3,1,"214,779","71,593.00"
71317,20191025,3,1,"213,951","71,317.00"
69842,20191021,3,1,"209,526","69,842.00"
69750,20191026,3,2,"209,250","69,750.00"
69614,20191025,3,1,"208,842","69,614.00"
69351,20191022,3,2,"208,053","69,351.00"
69318,20191025,3,1,"207,954","69,318.00"
69262,20191026,3,1,"207,786","69,262.00"
69217,20191023,3,2,"207,651","69,217.00"
69210,20191022,3,2,"207,630","69,210.00"
69208,20191024,3,2,"207,624","69,208.00"
69099,20191026,3,2,"207,297","69,099.00"
68998,20191022,3,2,"206,994","68,998.00"
68992,20191026,3,3,"206,976","68,992.00"
68991,20191021,3,2,"206,973","68,991.00"
68991,20191023,3,1,"206,973","68,991.00"
68985,20191020,3,2,"206,955","68,985.00"
68983,20191025,3,1,"206,949","68,983.00"
68968,20191025,3,3,"206,904","68,968.00"
68966,20191021,3,2,"206,898","68,966.00"
68953,20191023,3,1,"206,859","68,953.00"
20681,20191020,10,6,"206,810","20,681.00"
68925,20191023,3,3,"206,775","68,925.00"
68918,20191023,3,1,"206,754","68,918.00"
68918,20191026,3,3,"206,754","68,918.00"
68896,20191026,3,2,"206,688","68,896.00"
28853,20191023,7,6,"201,971","28,853.00"
28853,20191025,7,7,"201,971","28,853.00"
28853,20191026,7,7,"201,971","28,853.00"
65246,20191022,3,2,"195,738","65,246.00"
63784,20191022,3,2,"191,352","63,784.00"
95388,20191025,2,1,"190,776","95,388.00"
94190,20191026,2,1,"188,380","94,190.00"
93385,20191024,2,1,"186,770","93,385.00"
46162,20191025,4,3,"184,648","46,162.00"
92130,20191021,2,2,"184,260","92,130.00"
91991,20191021,2,1,"183,982","91,991.00"
60862,20191026,3,1,"182,586","60,862.00"
90797,20191025,2,1,"181,594","90,797.00"
89528,20191023,2,2,"179,056","89,528.00"
44755,20191022,4,2,"179,020","44,755.00"
44415,20191025,4,3,"177,660","44,415.00"
88684,20191022,2,2,"177,368","88,684.00"
88684,20191024,2,1,"177,368","88,684.00"
88684,20191026,2,2,"177,368","88,684.00"
88241,20191021,2,2,"176,482","88,241.00"
88241,20191023,2,1,"176,482","88,241.00"
88166,20191024,2,2,"176,332","88,166.00"
43907,20191020,4,3,"175,628","43,907.00"
43772,20191025,4,3,"175,088","43,772.00"
43727,20191022,4,3,"174,908","43,727.00"
43704,20191021,4,2,"174,816","43,704.00"
43697,20191022,4,2,"174,788","43,697.00"
43668,20191024,4,1,"174,672","43,668.00"
43654,20191025,4,4,"174,616","43,654.00"
43633,20191026,4,3,"174,532","43,633.00"
58159,20191020,3,2,"174,477","58,159.00"
43588,20191026,4,1,"174,352","43,588.00"
43544,20191026,4,3,"174,176","43,544.00"
86568,20191020,2,1,"173,136","86,568.00"
28804,20191022,6,5,"172,824","28,804.00"
86273,20191021,2,2,"172,546","86,273.00"
56811,20191023,3,1,"170,433","56,811.00"
56795,20191021,3,2,"170,385","56,795.00"
56512,20191022,3,2,"169,536","56,512.00"
42185,20191026,4,2,"168,740","42,185.00"
83513,20191024,2,1,"167,026","83,513.00"
