Event Label,Date,Total Events,Unique Events,Event Value,Avg. Value
28853,20191017,20,11,"577,060","28,853.00"
28853,20191019,16,14,"461,648","28,853.00"
1438,20191018,15,4,"21,570","1,438.00"
14852,20191017,14,5,"207,928","14,852.00"
28853,20191018,14,11,"403,942","28,853.00"
28853,20191020,13,11,"375,089","28,853.00"
31,20191014,12,9,372,31
70145,20191019,12,3,"841,740","70,145.00"
1438,20191015,11,6,"15,818","1,438.00"
169,20191015,11,4,"1,859",169
43843,20191018,11,5,"482,273","43,843.00"
165344,20191015,10,4,"1,653,440","165,344.00"
169,20191017,10,4,"1,690",169
20681,20191020,10,6,"206,810","20,681.00"
306,20191020,10,4,"3,060",306
43639,20191018,10,6,"436,390","43,639.00"
1053,20191017,9,7,"9,477","1,053.00"
168,20191020,9,9,"1,512",168
191,20191020,9,8,"1,719",191
31,20191017,9,7,279,31
31,20191018,9,6,279,31
64543,20191014,9,3,"580,887","64,543.00"
165390,20191018,8,4,"1,323,120","165,390.00"
31,20191015,8,7,248,31
31,20191019,8,7,248,31
31,20191020,8,7,248,31
311,20191020,8,5,"2,488",311
43585,20191018,8,5,"348,680","43,585.00"
46369,20191014,8,2,"370,952","46,369.00"
5976,20191020,8,3,"47,808","5,976.00"
89108,20191018,8,4,"712,864","89,108.00"
19120,20191020,7,2,"133,840","19,120.00"
262,20191019,7,4,"1,834",262
262,20191020,7,5,"1,834",262
36206,20191017,7,5,"253,442","36,206.00"
572,20191018,7,4,"4,004",572
88,20191016,7,3,616,88
1053,20191020,6,5,"6,318","1,053.00"
1125,20191020,6,6,"6,750","1,125.00"
1438,20191020,6,2,"8,628","1,438.00"
14705,20191017,6,5,"88,230","14,705.00"
165,20191019,6,4,990,165
165390,20191014,6,5,"992,340","165,390.00"
17809,20191019,6,2,"106,854","17,809.00"
187,20191018,6,4,"1,122",187
191,20191017,6,5,"1,146",191
306,20191019,6,2,"1,836",306
3270,20191019,6,6,"19,620","3,270.00"
374,20191019,6,4,"2,244",374
398,20191018,6,5,"2,388",398
43609,20191019,6,4,"261,654","43,609.00"
44113,20191019,6,4,"264,678","44,113.00"
44350,20191016,6,5,"266,100","44,350.00"
45562,20191019,6,5,"273,372","45,562.00"
5273,20191016,6,4,"31,638","5,273.00"
5273,20191018,6,5,"31,638","5,273.00"
732,20191017,6,4,"4,392",732
1053,20191019,5,4,"5,265","1,053.00"
1126,20191020,5,2,"5,630","1,126.00"
121745,20191015,5,2,"608,725","121,745.00"
147,20191019,5,4,735,147
15429,20191020,5,3,"77,145","15,429.00"
15641,20191015,5,2,"78,205","15,641.00"
160,20191017,5,3,800,160
163,20191019,5,4,815,163
17005,20191020,5,2,"85,025","17,005.00"
17851,20191017,5,2,"89,255","17,851.00"
187,20191015,5,4,935,187
262,20191015,5,3,"1,310",262
28804,20191017,5,5,"144,020","28,804.00"
28884,20191020,5,2,"144,420","28,884.00"
28889,20191020,5,5,"144,445","28,889.00"
291,20191016,5,3,"1,455",291
32906,20191015,5,2,"164,530","32,906.00"
3311,20191016,5,4,"16,555","3,311.00"
3454,20191016,5,2,"17,270","3,454.00"
35017,20191019,5,2,"175,085","35,017.00"
3607,20191016,5,5,"18,035","3,607.00"
3993,20191019,5,5,"19,965","3,993.00"
4100,20191017,5,3,"20,500","4,100.00"
43626,20191017,5,4,"218,130","43,626.00"
43633,20191015,5,2,"218,165","43,633.00"
44,20191018,5,2,220,44
46441,20191015,5,1,"232,205","46,441.00"
491,20191017,5,4,"2,455",491
491,20191020,5,4,"2,455",491
56600,20191018,5,4,"283,000","56,600.00"
572,20191019,5,5,"2,860",572
603,20191017,5,3,"3,015",603
6316,20191018,5,3,"31,580","6,316.00"
636,20191016,5,3,"3,180",636
6521,20191019,5,3,"32,605","6,521.00"
6729,20191020,5,3,"33,645","6,729.00"
68958,20191017,5,4,"344,790","68,958.00"
69197,20191016,5,5,"345,985","69,197.00"
692,20191016,5,5,"3,460",692
7722,20191020,5,4,"38,610","7,722.00"
