Player,RegionCode,CsvName,Age,Team,Nationality,KbmOrController
CODE CR-Scarlet,ASIA,,,,,
CR.がちがち bell,ASIA,,,,,
CR.がちがち TAKAMURA,ASIA,,,,,
Maufin xd,ASIA,,,,,
Meta Hood.J,ASIA,,,,,
Meta Peterpan,ASIA,Peterpan,18,Meta Gaming,South Korea,KB&M
Newbee_xMende,ASIA,Xmende,,Newbee,China,KB&M
NewbeeXXM,ASIA,XXM,,Newbee,China,KB&M
T1 がちがち Arius,ASIA,,,,,
TOP_Banny iwnl,ASIA,Banny,18,OP GAMING,South Korea,KB&M
TOP_がちがち FaxFox,ASIA,,,,,
TriggerQQ Flame,ASIA,Flame,,Trigger QQ,Viet Nam,KB&M
TriggerQQ Uniq,ASIA,Uniq,,Trigger QQ,Viet Nam,KB&M
9z kıng,BR,,,,,
CODE leleo,BR,Leleo,16,Free Agent,Brazil,KB&M
CODE NICKSSS,BR,NICKS,13,Free Agent,Brazil,KB&M
dk iwnl,BR,drakoNz,22,Free Agent,Brazil,KB&M
GusTavox8,BR,Gustavox8,,Free Agent,Brazil,KB&M
kurтz,BR,,,,,
Lasers is bad,BR,Lasers,18,Free Agent,Brazil,KB&M
pfzin,BR,pfzin,20,W7M Gaming,Brazil,KB&M
wisheydp,BR,wisheydp,15,Free Agent,Brazil,KB&M
xown iwnl-,BR,xOwN,16,Free Agent,Argentina,KB&M
AGO JarkoS,EU,,,,,
Atlantis K1nzell,EU,K1nzell,16,Team Atlantis,Slovenia,KB&M
Atlantis Lеtshe,EU,,,,,
Atlantis Mitr0,EU,,,,,
Atlantis Tuckz,EU,Tuckz,20,Team Atlantis,United Kingdom,KB&M
BTL 4zr,EU,4zr,14,Bastille Legacy,Switzerland,KB&M
COOLER aquaㅤㅤ,EU,,,,,
COOLER Nyhrox,EU,Nyhrox,16,Cooler Esport,Norway,KB&M
Derox.,EU,Derox,14,Free Agent,Germany,KB&M
DiegoGB uwu,EU,,,,,
dMIND.teeq,EU,Teeq,16,Dynamind,Poland,KB&M
ÐRG,EU,,,,,
E11 itemm,EU,itemm,16,E11 Gaming,United Kingdom,KB&M
E11 Stompy,EU,Stompy,17,E11 Gaming,Austria,KB&M
E11 Tschiiinken,EU,Tschinken,18,E11 Gaming,Austria,KB&M
Eon RedRush,EU,RedRush,15,Executors One,Lithuania,KB&M
Eon wakie,EU,Wakie,14,Executors One,Sweden,KB&M
Eon znappy,EU,Znappy,15,Executors One,Sweden,KB&M
Erouce,EU,Erouce,18,Free Agent,Sweden,Controller
FaZe Vorwenn,EU,Vorwenn,20,FaZe Clan,Spain,KB&M
Fledermoys,EU,Fledermoys,18,Free Agent,Germany,KB&M
Fnatic smeef,EU,Smeef,18,Fnatic,United Kingdom,KB&M
Gambit.fwexY,EU,fwexY,16,Gambit Esports,Germany,KB&M
Gambit.letw1k3,EU,letw1k3,14,Gambit Esports,Russia,KB&M
Ghost Issa,EU,,,,,
GO Deаdrа,EU,,,,,
GO M11Z,EU,,,,,
HORT_LYGHT,EU,,,,,
hREDS BELAEU,EU,BELAEU,23,Helsinki Reds,Finland,KB&M
Klusiabtw,EU,,,,,
LeStream Blaxou,EU,Blaxou,17,LeStream Esport,France,KB&M
LeStream Skite,EU,,,,,
LeStream Vato,EU,Vato,19,LeStream Esport,Switzerland,KB&M
Lnuef,EU,Lnuef,17,Free Agent,Netherlands,KB&M
lolb0om,EU,lolb0om,16,Free Agent,Ireland,KB&M
Lootboy Mexe,EU,Mexe,16,Lootboy eSport,United Kingdom,KB&M
Lootboy Skram,EU,Skram,19,Lootboy eSport,Denmark,KB&M
luKi tjk,EU,Luki,15,Free Agent,Poland,KB&M
LеStrеam Nayte,EU,,,,,
mārteeṉeu,EU,,,,,
Not BadSniper,EU,,,,,
Noward.,EU,,,,,
NRG benjуfishу,EU,,,,,
NRG MrSavageM,EU,MrSavageM,14,NRG Esports,Norway,KB&M
Oslo.,EU,Oslo,20,Free Agent,France,KB&M
Quіnten,EU,,,,,
RBK LeftEye,EU,LeftEye,21,Raised By Kings,Sweden,KB&M
Rojο,EU,,,,,
Secret_Domentos,EU,Domentos,18,Team Secret,Latvia,KB&M
Secret_Mongraal,EU,Mongraal,14,Team Secret,United Kingdom,KB&M
Skāilereu,EU,,,,,
Snayzy,EU,Snayzy,16,Free Agent,France,KB&M
SNG Th0masHD,EU,,,,,
Solary Airwaks,EU,Airwaks,24,Solary,Switzerland,KB&M
Solary Hunter,EU,Hunter,19,Solary,France,KB&M
Solary Kinstaar,EU,Kinstaar,19,Solary,Switzerland,KB&M
Solary Nîkof,EU,,,,,
Tchub_,EU,Tchub,23,Free Agent,Sweden,KB&M
TQ Prisi0n3r0,EU,Prisi0n3r0,19,Team Queso,Spain,KB&M
TrainH BlastRR,EU,BlastR,16,Train Hard,France,KB&M
TrainH Robabz,EU,Robabz,14,Train Hard,France,KB&M
TTVCoreGamingg,EU,CoreGamingg,21,Free Agent,United Kingdom,KB&M
VHV Chapix,EU,Chapix,15,Valhalla Vikings,Sweden,KB&M
VHV Crue,EU,Crue,16,Valhalla Vikings,Sweden,KB&M
VP 7ssk7,EU,7ssk7,20,Virtus pro,Belarus,KB&M
VP JAMSIDE,EU,Jamside,17,Virtus pro,Russia,KB&M
Wolfiеz,EU,,,,,
Xypher Endretta,EU,,,,,
Εmqu,EU,,,,,
100T Ceice,NAE,Ceice,18,100 Thieves,United States,KB&M
100T Elevate,NAE,Elevate,17,100 Thieves,United States,KB&M
100T Klass,NAE,Klass,16,100 Thieves,United States,KB&M
Astоnish,NAE,,,,,
CaIculator,NAE,,,,,
Chenkinz.tv,NAE,,,,,
CLG psalm,NAE,Psalm,24,Counter Logic Gaming,United States,KB&M
code ronaldo,NAE,Ronaldo,18,Free Agent,Canada,KB&M
CODE SEN-Aspect,NAE,Aspect,16,Sentinels,United States,KB&M
coL Lanjok,NAE,Lanjok,17,compLexity Gaming,United States,KB&M
coL MackWood,NAE,MackWood,17,compLexity Gaming,United States,KB&M
coL Punisher,NAE,Punisher,23,compLexity Gaming,France,KB&M
E11 BlooTea,NAE,BlooTea,23,E11 Gaming,United States,KB&M
Eclipsae,NAE,Eclipsae,,Free Agent,United States,KB&M
Envy Bucke,NAE,Bucke,15,Team Envy,United States,KB&M
Envy LeNain,NAE,LeNain,18,Team Envy,Canada,KB&M
Fatch.,NAE,,,,,
FaZe Dubs.,NAE,Dubs,16,FaZe Clan,United States,KB&M
FaZe Funk,NAE,,,,,
FaZe Megga.,NAE,Megga,14,FaZe Clan,United States,KB&M
Ghost Bizzle,NAE,Bizzle,21,Ghost Gaming,United States,KB&M
Ghost Saf,NAE,,,,,
Hornеt,NAE,,,,,
Kawzmik,NAE,Kawzmik,14,Free Agent,United States,Controller
KeysFN,NAE,Keys,18,Free Agent,United States,KB&M
KNG Unknown,NAE,Unknown,15,Team Kungarna,United States,Controller
Legedien,NAE,Legedien,20,Free Agent,United States,KB&M
LG Tyler15,NAE,,,,,
Liquid Vivid,NAE,Vivid,21,Team Liquid,United States,KB&M
LZR Kreo,NAE,Kreo,18,Lazarus Esports,United States,KB&M
MSF Clix,NAE,Clix,14,Misfits Gaming,United States,KB&M
Nate Hill,NAE,Nate Hill,24,FaZe Clan,United States,KB&M
Nittle,NAE,Nittle,15,Free Agent,United States,KB&M
NRG Zayt,NAE,Zayt,19,NRG Esports,Canada,KB&M
OT Spαdes,NAE,,,,,
Reverse2k,NAE,Reverse2k,18,Free Agent,United States,KB&M
RoAtDW,NAE,roatdw,16,Free Agent,United States,KB&M
RogueShark_,NAE,RogueShark,17,Free Agent,United States,KB&M
RS clarityG,NAE,ClarityG,18,Free Agent,United States,KB&M
RS kolorful,NAE,kolorfull,15,Riot Squad Esports,Canada,KB&M
scptc,NAE,,,,,
SEN Bughа,NAE,,,,,
Slackes,NAE,Slackes,,Free Agent,United States,KB&M
Tempo Brush,NAE,,,,,
Tempo CizLucky,NAE,,,,,
Tetchra,NAE,Tetchra,16,Free Agent,United States,KB&M
Tfue,NAE,Tfue,21,Free Agent,United States,KB&M
Thiccboy Luneze,NAE,,,,,
Touzii,NAE,Touzii,15,Free Agent,United States,Controller
TSM.Vinny1x,NAE,,,,,
TSM_Comadon,NAE,Comadon,14,Team Solomid,United States,KB&M
TSM_Zexrow,NAE,Zexrow,18,Team Solomid,United States,KB&M
woofgang crimz,NAE,,,,,
XXiF,NAE,XXiF,,Free Agent,Canada,KB&M
1400 Pika,NAW,Pika,20,World Best Gaming,United States,KB&M
1400 Rhux UwU,NAW,Rhux,24,World Best Gaming,United States,KB&M
4DRStorm.,NAW,4DRStorm,16,Free Agent,United States,KB&M
Arkhram1x,NAW,Arkhram,15,Free Agent,United States,KB&M
Bloom Falconer,NAW,,,,,
Ghost Aydan,NAW,Aydan,19,Ghost Gaming,United States,Controller
Ghost Sean,NAW,Sean,18,Ghost Gaming,Canada,KB&M
KNG Barl,NAW,,,,,
KNG EpikWhale,NAW,,,,,
KNG Jay.,NAW,Jay,13,Team Kungarna,United States,KB&M
