RegionCode,Player,Team,Nationality,KbmOrController,Age,Twitter
ASIA,100 Ping No Wall,Free Agent,,,,
ASIA,100pingonJPsever,Free Agent,,,,
ASIA,101-Along.CN,Free Agent,,,,
ASIA,101-Zx.CN,Free Agent,,,,
ASIA,2lIﾂ,Free Agent,,,,
ASIA,2SNgNl,Free Agent,,,,
ASIA,4KPEC_C iww,Free Agent,,,,
ASIA,4ndy.,Free Agent,,,,
ASIA,4RaiF_GoRou,Free Agent,,,,
ASIA,4RaiF_min10ns,Free Agent,,,,
ASIA,4RaiF_Nagomin,Free Agent,,,,
ASIA,4RaiF_Tonbo,Free Agent,,,,
ASIA,4shly,Free Agent,,,,
ASIA,525KR,Free Agent,,,,
ASIA,5kyfull,Free Agent,,,,
ASIA,5等分のタスク,Free Agent,,,,
ASIA,8bit keizz,Free Agent,,,,
ASIA,A_sun,Free Agent,,,,
ASIA,Absorb.Genkiくん,Free Agent,,,,
ASIA,Absorb.こがわうビット,Free Agent,,,,
ASIA,AbyChasoツ,Free Agent,,,,
ASIA,Ac はるく,Free Agent,,,,
ASIA,Ac 息子ビクトリー,Free Agent,,,,
ASIA,Ac.FUDEN,Free Agent,,,,
ASIA,Ac.TayTayッッ,Free Agent,,,,
ASIA,Ac.TKplayer,Free Agent,,,,
ASIA,Ace1 CLZ,Free Agent,,,,
ASIA,Ace1 POSK,Free Agent,,,,
ASIA,Aiddle AmEYOIN,Free Agent,,,,
ASIA,Aiddle Vector,Free Agent,,,,
ASIA,Allude iwnl,Free Agent,,,,
ASIA,AlterEgo Feezle,Free Agent,,,,
ASIA,AlterEgo.dNis,Free Agent,,,,
ASIA,AlterEgo.KLOPZ,Free Agent,,,,
ASIA,AlterEgo.Mev,Free Agent,,,,
ASIA,AlterEgo.nomfu,Free Agent,,,,
ASIA,Altima Chipson,Free Agent,,,,
ASIA,Altima jozya,Free Agent,,,,
ASIA,Altima overStun,Free Agent,,,,
ASIA,Altima RIKI,Free Agent,,,,
ASIA,ANBU.Cabbage,Free Agent,,,,
ASIA,ANBU.Cyaniteツ,Free Agent,,,,
ASIA,ANBU.Demon,Free Agent,,,,
ASIA,ANBU.Howl,Free Agent,,,,
ASIA,ANBU.KygoFishy,Free Agent,,,,
ASIA,ANBU.sneakyFishy,Free Agent,,,,
ASIA,AnkmuかもしれないᎯ,Free Agent,,,,
ASIA,ANL-Aekou,Free Agent,,,,
ASIA,Ảrthur,Free Agent,,,,
ASIA,Astra めだまやき,Free Agent,,,,
ASIA,AT.Hinatarou,Free Agent,,,,
ASIA,Atlantis らいむ,Free Agent,,,,
ASIA,Atlas.Kune,Free Agent,,,,
ASIA,Autobahn Live,Free Agent,,,,
ASIA,Autobahn 토 란,Free Agent,,,,
ASIA,Ayatõ,Free Agent,,,,
ASIA,BaiYang.,Free Agent,,,,
ASIA,Baki_xoop,Free Agent,,,,
ASIA,BB C4rly,Free Agent,,,,
ASIA,BB FUKA,Free Agent,,,,
ASIA,BB Nuub,Free Agent,,,,
ASIA,BG Kurara,Free Agent,,,,
ASIA,BG Mayo,Free Agent,,,,
ASIA,BG ryu24,Free Agent,,,,
ASIA,BG Soxux,Free Agent,,,,
ASIA,BG かわいいぽんぺSG,Free Agent,,,,
ASIA,BG そふぃあだよおおおおおお,Free Agent,,,,
ASIA,blibli259919アグモン,Free Agent,,,,
ASIA,BlossoM JoKer,Free Agent,,,,
ASIA,BlossoM Tsunami,Free Agent,,,,
ASIA,BLS がちがち NinGDO,Free Agent,,,,
ASIA,Bobu xd,Free Agent,,,,
ASIA,Bot is fish,Free Agent,,,,
ASIA,BotHallo,Free Agent,,,,
ASIA,BotΔ,Free Agent,,,,
ASIA,Breeeze_びちゃ,Free Agent,,,,
ASIA,brokeboi adam,Free Agent,,,,
ASIA,brokeboi wh1te,Free Agent,,,,
ASIA,BRZ_sciy,Free Agent,,,,
ASIA,BRZ_Seafo,Free Agent,,,,
ASIA,BRZ_SouGaming,Free Agent,,,,
ASIA,Buny iwnl,Free Agent,,,,
ASIA,C9_Duty,Free Agent,,,,
ASIA,C9_Trona,Free Agent,,,,
ASIA,CA.CraNelu,Free Agent,,,,
ASIA,CA.Fuuru,Free Agent,,,,
ASIA,CA.Harukiyo,Free Agent,,,,
ASIA,CA.karakina,Free Agent,,,,
ASIA,çañ,Free Agent,,,,
ASIA,ChimeraPH,Free Agent,,,,
ASIA,Chubs.iwnl,Free Agent,,,,
ASIA,CieL ひろてぃー,Free Agent,,,,
ASIA,CODE CR-Scarlet,Free Agent,,,,
ASIA,CODE GE_Eraser,Free Agent,,,,
ASIA,CODE NIKKEYEZ,Free Agent,,,,
ASIA,Col はいぱー,Free Agent,,,,
ASIA,Col_Akairo YT,Free Agent,,,,
ASIA,Col_鼻毛を抜きたいなおや,Free Agent,,,,
ASIA,Comi風,Free Agent,,,,
ASIA,CP_Cursive,Free Agent,,,,
ASIA,CP_Dabzi,Free Agent,,,,
ASIA,CP_Doom,Free Agent,,,,
ASIA,CP_Mellow,Free Agent,,,,
ASIA,CP_Moon,Free Agent,,,,
ASIA,CR.Arisakaaa,Free Agent,,,,
ASIA,CR.Cornn,Free Agent,,,,
ASIA,CR.Crazyラマ,Free Agent,,,,
ASIA,CR.Daruma,Free Agent,,,,
ASIA,CR.Francisco,Free Agent,,,,
ASIA,CR.Scarlet No.1,Free Agent,,,,
ASIA,CR.Toppy xd,Free Agent,,,,
ASIA,CR.UyuRiru,Free Agent,,,,
ASIA,CR.VanilLa,Free Agent,,,,
ASIA,CR.Yusеа,Free Agent,,,,
ASIA,CR.がちがち bell,Free Agent,,,,
ASIA,CR.がちがち RizArt,Free Agent,,,,
ASIA,CR.がちがち TAKAMURA,Free Agent,,,,
ASIA,crayon masao,Free Agent,,,,
ASIA,cresc.Ronau.D,Free Agent,,,,
ASIA,cresc.べるとろ,Free Agent,,,,
ASIA,cresc.ゆりぃ,Free Agent,,,,
ASIA,Crooked Sienna,Free Agent,,,,
ASIA,Crysticfyqq,Free Agent,,,,
ASIA,cxv.Puzzle,Free Agent,,,,
ASIA,cxv.Puzzle_ようつべ,Free Agent,,,,
ASIA,cxv.やせのっぽ,Free Agent,,,,
ASIA,D1NK -ZANE-,Free Agent,,,,
ASIA,D7 Meiy,Free Agent,,,,
ASIA,DamzesGG,Free Agent,,,,
ASIA,Dee Lanz,Free Agent,,,,
ASIA,Demon X -ZANE-,Free Agent,,,,
ASIA,DNA - Hunter,Free Agent,,,,
ASIA,Drake ごちゃまる,Free Agent,,,,
ASIA,Drake ちょこふぁっしょん,Free Agent,,,,
ASIA,DreamZrn,Free Agent,,,,
ASIA,DTN Killme,Free Agent,,,,
ASIA,DTN Nasubi,Free Agent,,,,
ASIA,DUALSHOCK４,Free Agent,,,,
ASIA,Ecliрseツ,Free Agent,,,,
ASIA,Ɍefrɇt,Free Agent,,,,
ASIA,EON.hillhush,Free Agent,,,,
ASIA,EON.wallrev,Free Agent,,,,
ASIA,Evolve peNTa,Free Agent,,,,
ASIA,EVOS.H4dez,Free Agent,,,,
ASIA,EVOS.Prototype-,Free Agent,,,,
ASIA,EVOS.Qbo,Free Agent,,,,
ASIA,EVOS.Qbo POPMIE,Free Agent,,,,
ASIA,EVOS.Sams,Free Agent,,,,
ASIA,ExiLed ID-Aeeryn,Free Agent,,,,
ASIA,Exousia Archie_o,Free Agent,,,,
ASIA,Exousia Kei_o,Free Agent,,,,
ASIA,exscind sucks,Free Agent,,,,
ASIA,EZ Havik,Free Agent,,,,
ASIA,Ez Scrapy7331,Free Agent,,,,
ASIA,FA GilbyMars,Free Agent,,,,
ASIA,FA MILA,Free Agent,,,,
