Event,Region,Rank,Payout,Players
CC Friday #1,Asia,1,1500,3
CC Friday #1,Asia,2,900,3
CC Friday #1,Asia,3,600,3
CC Friday #1,Asia,4,500,3
CC Friday #1,Asia,5,400,3
CC Friday #1,Asia,6,300,3
CC Friday #1,Asia,10,200,3
CC Friday #1,Brazil,1,1700,3
CC Friday #1,Brazil,2,1300,3
CC Friday #1,Brazil,3,1000,3
CC Friday #1,Brazil,4,700,3
CC Friday #1,Brazil,5,500,3
CC Friday #1,Brazil,6,400,3
CC Friday #1,Brazil,9,300,3
CC Friday #1,Brazil,10,200,3
CC Friday #1,Europe,1,6000,3
CC Friday #1,Europe,2,5000,3
CC Friday #1,Europe,3,4000,3
CC Friday #1,Europe,4,2300,3
CC Friday #1,Europe,5,1100,3
CC Friday #1,Europe,6,900,3
CC Friday #1,Europe,7,800,3
CC Friday #1,Europe,8,600,3
CC Friday #1,Europe,9,500,3
CC Friday #1,Europe,10,400,3
CC Friday #1,Europe,20,300,3
CC Friday #1,Europe,30,200,3
CC Friday #1,NA East,1,4000,3
CC Friday #1,NA East,2,3300,3
CC Friday #1,NA East,3,2500,3
CC Friday #1,NA East,4,1335,3
CC Friday #1,NA East,5,900,3
CC Friday #1,NA East,6,800,3
CC Friday #1,NA East,7,600,3
CC Friday #1,NA East,8,500,3
CC Friday #1,NA East,9,400,3
CC Friday #1,NA East,10,300,3
CC Friday #1,NA East,20,200,3
CC Friday #1,NA West,1,1700,3
CC Friday #1,NA West,2,1300,3
CC Friday #1,NA West,3,1000,3
CC Friday #1,NA West,4,700,3
CC Friday #1,NA West,5,500,3
CC Friday #1,NA West,6,400,3
CC Friday #1,NA West,9,300,3
CC Friday #1,NA West,10,200,3
CC Friday #1,Oceania,1,1500,3
CC Friday #1,Oceania,2,900,3
CC Friday #1,Oceania,3,600,3
CC Friday #1,Oceania,4,500,3
CC Friday #1,Oceania,5,400,3
CC Friday #1,Oceania,6,300,3
CC Friday #1,Oceania,10,200,3
CC Friday #2,Asia,1,1500,3
CC Friday #2,Asia,2,900,3
CC Friday #2,Asia,3,600,3
CC Friday #2,Asia,4,500,3
CC Friday #2,Asia,5,400,3
CC Friday #2,Asia,6,300,3
CC Friday #2,Asia,10,200,3
CC Friday #2,Brazil,1,1700,3
CC Friday #2,Brazil,2,1300,3
CC Friday #2,Brazil,3,1000,3
CC Friday #2,Brazil,4,700,3
CC Friday #2,Brazil,5,500,3
CC Friday #2,Brazil,6,400,3
CC Friday #2,Brazil,9,300,3
CC Friday #2,Brazil,10,200,3
CC Friday #2,Europe,1,6000,3
CC Friday #2,Europe,2,5000,3
CC Friday #2,Europe,3,4000,3
CC Friday #2,Europe,4,2300,3
CC Friday #2,Europe,5,1100,3
CC Friday #2,Europe,6,900,3
CC Friday #2,Europe,7,800,3
CC Friday #2,Europe,8,600,3
CC Friday #2,Europe,9,500,3
CC Friday #2,Europe,10,400,3
CC Friday #2,Europe,20,300,3
CC Friday #2,Europe,30,200,3
CC Friday #2,NA East,1,4000,3
CC Friday #2,NA East,2,3300,3
CC Friday #2,NA East,3,2500,3
CC Friday #2,NA East,4,1335,3
CC Friday #2,NA East,5,900,3
CC Friday #2,NA East,6,800,3
CC Friday #2,NA East,7,600,3
CC Friday #2,NA East,8,500,3
CC Friday #2,NA East,9,400,3
CC Friday #2,NA East,10,300,3
CC Friday #2,NA East,20,200,3
CC Friday #2,NA West,1,1700,3
CC Friday #2,NA West,2,1300,3
CC Friday #2,NA West,3,1000,3
CC Friday #2,NA West,4,700,3
CC Friday #2,NA West,5,500,3
CC Friday #2,NA West,6,400,3
CC Friday #2,NA West,9,300,3
CC Friday #2,NA West,10,200,3
CC Friday #2,Oceania,1,1500,3
CC Friday #2,Oceania,2,900,3
CC Friday #2,Oceania,3,600,3
CC Friday #2,Oceania,4,500,3
CC Friday #2,Oceania,5,400,3
CC Friday #2,Oceania,6,300,3
CC Friday #2,Oceania,10,200,3
CC Friday #3,Asia,1,1500,3
CC Friday #3,Asia,2,900,3
CC Friday #3,Asia,3,600,3
CC Friday #3,Asia,4,500,3
CC Friday #3,Asia,5,400,3
CC Friday #3,Asia,6,300,3
CC Friday #3,Asia,10,200,3
CC Friday #3,Brazil,1,1700,3
CC Friday #3,Brazil,2,1300,3
CC Friday #3,Brazil,3,1000,3
CC Friday #3,Brazil,4,700,3
CC Friday #3,Brazil,5,500,3
CC Friday #3,Brazil,6,400,3
CC Friday #3,Brazil,9,300,3
CC Friday #3,Brazil,10,200,3
CC Friday #3,Europe,1,6000,3
CC Friday #3,Europe,2,5000,3
CC Friday #3,Europe,3,4000,3
CC Friday #3,Europe,4,2300,3
CC Friday #3,Europe,5,1100,3
CC Friday #3,Europe,6,900,3
CC Friday #3,Europe,7,800,3
CC Friday #3,Europe,8,600,3
CC Friday #3,Europe,9,500,3
CC Friday #3,Europe,10,400,3
CC Friday #3,Europe,20,300,3
CC Friday #3,Europe,30,200,3
CC Friday #3,NA East,1,4000,3
CC Friday #3,NA East,2,3300,3
CC Friday #3,NA East,3,2500,3
CC Friday #3,NA East,4,1335,3
CC Friday #3,NA East,5,900,3
CC Friday #3,NA East,6,800,3
CC Friday #3,NA East,7,600,3
CC Friday #3,NA East,8,500,3
CC Friday #3,NA East,9,400,3
CC Friday #3,NA East,10,300,3
CC Friday #3,NA East,20,200,3
CC Friday #3,NA West,1,1700,3
CC Friday #3,NA West,2,1300,3
CC Friday #3,NA West,3,1000,3
CC Friday #3,NA West,4,700,3
CC Friday #3,NA West,5,500,3
CC Friday #3,NA West,6,400,3
CC Friday #3,NA West,9,300,3
CC Friday #3,NA West,10,200,3
CC Friday #3,Oceania,1,1500,3
CC Friday #3,Oceania,2,900,3
CC Friday #3,Oceania,3,600,3
CC Friday #3,Oceania,4,500,3
CC Friday #3,Oceania,5,400,3
CC Friday #3,Oceania,6,300,3
CC Friday #3,Oceania,10,200,3
CC Friday #4,Asia,1,1500,3
CC Friday #4,Asia,2,900,3
CC Friday #4,Asia,3,600,3
CC Friday #4,Asia,4,500,3
CC Friday #4,Asia,5,400,3
CC Friday #4,Asia,6,300,3
CC Friday #4,Asia,10,200,3
CC Friday #4,Brazil,1,1700,3
CC Friday #4,Brazil,2,1300,3
CC Friday #4,Brazil,3,1000,3
