"week","soloWeek","duoWeek","soloOrDuo","player","region","rank","payout","points","wins","elims","placementPoints","earnedQualification"
"Week 1","0","0","Solo","SoaR Daric","NA East","450","250","31","0","16","15","0"
"Week 3","0","0","Solo","SoaR Daric","NA East","1188","100","22","0","15","7","0"
"Week 2","0","0","Duo","SoaR Daric","NA East","65","400","60","0","42","18","0"
"Week 4","0","0","Duo","SoaR Daric","NA East","420","175","41","0","29","12","0"
"Week 6","0","0","Duo","SoaR Daric","NA East","109","250","57","1","23","34","0"
"Week 8","0","0","Duo","SoaR Daric","NA East","185","250","52","0","24","28","0"
"Week 10","0","0","Duo","SoaR Daric","NA East","131","500","55","1","25","30","0"
"Week 3","0","0","Solo","SheepImThat","NA East","52","400","48","1","21","27","0"
"Week 2","0","0","Duo","SheepImThat","NA East","77","350","58","1","32","26","0"
"Week 1","0","0","Solo","100T Wrigley","NA East","1326","100","20","0","13","7","0"
"Week 3","0","0","Solo","100T Wrigley","NA East","244","300","36","1","11","25","0"
"Week 7","0","0","Solo","100T Wrigley","NA East","571","150","30","0","13","17","0"
"Week 9","0","0","Solo","100T Wrigley","NA East","43","900","50","1","18","32","0"
"Week 2","0","0","Duo","100T Wrigley","NA East","58","400","61","0","34","27","0"
"Week 4","0","0","Duo","100T Wrigley","NA East","447","175","40","0","27","13","0"
"Week 10","0","0","Duo","100T Wrigley","NA East","261","350","48","1","23","25","0"
"Week 1","0","0","Solo","TheGenrl","NA East","356","250","33","0","16","17","0"
"Week 3","0","0","Solo","TheGenrl","NA East","496","250","31","0","10","21","0"
"Week 2","0","0","Duo","TheGenrl","NA East","72","400","59","1","32","27","0"
"Week 6","0","0","Duo","TheGenrl","NA East","429","175","41","0","36","5","0"
"Week 5","0","0","Solo","Invalid gg","NA East","403","250","33","0","12","21","0"
"Week 2","0","0","Duo","Invalid gg","NA East","98","350","55","1","22","33","0"
"Week 8","0","0","Duo","Invalid gg","NA East","167","250","52","1","24","28","0"
"Week 1","0","0","Solo","MiG Tidav","NA East","164","300","39","0","16","23","0"
"Week 3","0","0","Solo","MiG Tidav","NA East","395","250","33","0","13","20","0"
"Week 5","0","0","Solo","MiG Tidav","NA East","29","650","54","0","19","35","0"
"Week 9","0","0","Solo","MiG Tidav","NA East","357","500","34","0","20","14","0"
"Week 2","0","0","Duo","MiG Tidav","NA East","27","650","69","0","42","27","0"
"Week 4","0","0","Duo","MiG Tidav","NA East","414","175","41","1","26","15","0"
"Week 8","0","0","Duo","MiG Tidav","NA East","126","250","55","1","28","27","0"
"Week 1","0","0","Solo","E11 daxor.","NA East","520","150","30","0","14","16","0"
"Week 3","0","0","Solo","E11 daxor.","NA East","50","450","49","0","20","29","0"
"Week 7","0","0","Solo","E11 daxor.","NA East","38","550","51","1","20","31","0"
"Week 9","0","0","Solo","E11 daxor.","NA East","430","500","33","0","12","21","0"
"Week 2","0","0","Duo","E11 daxor.","NA East","31","550","68","1","29","39","0"
"Week 4","0","0","Duo","E11 daxor.","NA East","50","450","63","1","40","23","0"
"Week 6","0","0","Duo","E11 daxor.","NA East","110","250","57","0","33","24","0"
"Week 8","0","0","Duo","E11 daxor.","NA East","66","400","62","1","25","37","0"
"Week 10","0","0","Duo","E11 daxor.","NA East","9","2500","82","3","34","48","0"
"Week 2","0","0","Duo","Ryb.","NA East","100","350","55","1","19","36","0"
"Week 3","0","0","Solo","karaziа","NA East","626","150","29","0","11","18","0"
"Week 5","0","0","Solo","karaziа","NA East","217","300","38","0","19","19","0"
"Week 2","0","0","Duo","karaziа","NA East","85","350","57","0","30","27","0"
"Week 8","0","0","Duo","karaziа","NA East","280","175","47","0","29","18","0"
"Week 1","0","0","Solo","MRKN Predator","NA East","188","300","38","0","16","22","0"
"Week 3","0","0","Solo","MRKN Predator","NA East","494","250","31","0","11","20","0"
"Week 5","0","0","Solo","MRKN Predator","NA East","68","400","47","1","17","30","0"
"Week 7","0","0","Solo","MRKN Predator","NA East","932","150","25","0","13","12","0"
"Week 9","0","0","Solo","MRKN Predator","NA East","93","700","43","1","19","24","0"
"Week 2","0","0","Duo","MRKN Predator","NA East","63","400","60","1","30","30","0"
"Week 4","0","0","Duo","MRKN Predator","NA East","178","250","51","0","33","18","0"
"Week 8","0","0","Duo","MRKN Predator","NA East","43","450","68","0","33","35","0"
"Week 10","0","0","Duo","MRKN Predator","NA East","21","1300","70","0","39","31","0"
"Week 2","0","0","Duo","Scolio Tv","NA East","91","350","56","0","32","24","0"
"Week 1","1","0","Solo","Liquid Vivid","NA East","5","2250","60","2","28","32","1"
"Week 9","0","0","Solo","Liquid Vivid","NA East","330","500","35","0","15","20","0"
"Week 2","0","0","Duo","Liquid Vivid","NA East","24","650","70","1","39","31","0"
"Week 4","0","0","Duo","Liquid Vivid","NA East","43","450","65","1","40","25","0"
"Week 6","0","0","Duo","Liquid Vivid","NA East","45","450","65","1","40","25","0"
"Week 8","0","0","Duo","Liquid Vivid","NA East","383","175","43","0","26","17","0"
"Week 10","0","0","Duo","Liquid Vivid","NA East","10","2000","80","1","42","38","0"
"Week 3","0","0","Solo","100T Kenith","NA East","694","150","28","0","13","15","0"
"Week 7","0","0","Solo","100T Kenith","NA East","635","150","29","0","12","17","0"
"Week 2","0","0","Duo","100T Kenith","NA East","70","400","59","1","39","20","0"
"Week 4","0","0","Duo","100T Kenith","NA East","335","175","44","0","23","21","0"
"Week 6","0","0","Duo","100T Kenith","NA East","345","175","44","0","25","19","0"
"Week 8","0","0","Duo","100T Kenith","NA East","204","250","51","0","31","20","0"
"Week 10","0","0","Duo","100T Kenith","NA East","68","800","60","1","40","20","0"
"Week 7","0","0","Solo","Mastоris","NA East","617","150","29","0","16","13","0"
"Week 2","0","0","Duo","Mastоris","NA East","16","900","75","1","47","28","0"
"Week 4","0","0","Duo","Mastоris","NA East","174","250","51","0","41","10","0"
"Week 6","0","0","Duo","Mastоris","NA East","49","450","64","1","35","29","0"
"Week 8","0","0","Duo","Mastоris","NA East","348","175","44","0","37","7","0"
"Week 10","0","0","Duo","Mastоris","NA East","254","350","49","0","24","25","0"
"Week 1","0","0","Solo","FaZe Diggy","NA East","144","300","40","0","11","29","0"
"Week 3","0","0","Solo","FaZe Diggy","NA East","385","250","33","0","16","17","0"
"Week 5","0","0","Solo","FaZe Diggy","NA East","1193","100","22","0","12","10","0"
