Avg Power Points,#1 Points,#1,#2 Points,#2,#3 Points,#3,#4 Points,#4
"0","0.00","FPX Xiaohong","0.00","FPX 4imb0T.exe","0.00","FPX Sad","0.00","FPX QianLan"
"11,329","7833.00","DWG Eraser","8741.00","T1 Arius XD","17155.00","FaxF0x","11586.00","T1 SinOoh"
"3,549","3125.00","Assault No.1","3520.00","ArowZ.Aka Enk","3374.00","???????","4177.00","jn?m"
"0","0.00","FPX Wolf","0.00","FPX openK","0.00","FPX Evilmare","0.00","FPX XiaoTian"
"12,975","22443.00","T1 Peterpan","15066.00","T1 Hood.J","6911.00","DWG Ming","7481.00","Bloom Medusa T1"
"4,613","5296.00","Paengdol -a-","3374.00","GallaxyPK -a-","6761.00","FA Aimhero_o","3021.00","GCBM CoSa -a-"
"3,842","549.00","Horaace","5357.00","Swillium","3995.00","NinGDO .","5469.00","FA1ZZY 777"
"3,205","3557.00","Fire -w-","2412.00","?.???? xP","3247.00","TayTayQwQ","3604.00","Liberta ????"
"3,950","1778.00","T1 Quickss","5128.00","T1 Spidermon","4168.00","Puzz .","4727.00","T1 Envy."
"1,497","979.00","S.????????_JET","2065.00","S.?????_JET","651.00","S.???????_JET","2292.00","S.??????_JET"
"969","861.00","2SNgNl","235.00","Tw1nkk","709.00","s0undSMZ.","2072.00","overStun."
"0","0.00","New4_Loco.CN","0.00","New4_Lemon.CN","0.00","WE_RushB.CN","0.00","New4_BanXiu.CN"
"274","0.00","SaMo.X","0.00","???","478.00","Mist. a","616.00","NEXUS.Diva???"
"246","0.00","4ce S","0.00","4ce Maluuu","414.00","4ce ????","568.00","4ce ??"
"2,153","2527.00","jozya.","3453.00","r1ki .","433.00","4nd?","2200.00","Chipson."
"3,396","1212.00","lil Ruio","3857.00","yunseopp","5876.00","lil wonbtw","2640.00","lil clite"
"1,903","857.00","GL_Metsuo","753.00","Liberta ???","3459.00","Riddle Nisidera","2543.00","GL_bykn"
"872","1636.00","KissMaster69","962.00","??? Tinyrotte","280.00","FA Roia","609.00","????"
"251","421.00","Rep ??MeLL.jp","0.00","Rep Seth?","584.00","Rep igru-k","0.00","Rep Cllanbre"
"408","0.00","WRT.????","897.00","WR.??KENTAch","394.00","WRT.????? win","340.00","T win.270s"
"2,130","1684.00","SexyAqxly","1861.00","Ac.A.Ac","2144.00","GL_Shiras???","2830.00","NR Tackle"
"183","395.00","CCC YZ","0.00","CCC RV","183.00","CCC NR","154.00","CCC NS"
"0","0.00","Liberty.Heang?","0.00","Liberty.Drosee?","0.00","Liberty.Fear?","0.00","Liberty.WATHANA?"
