Avg Power Points,#1 Points,#1,#2 Points,#2,#3 Points,#3,#4 Points,#4
"16,054","23347.00","C9 Nicks GEMIDA","13871.00","cloud9 dk","13720.00","C9 blackoutz","13280.00","Master GEMIDA"
"11,323","12917.00","Clipnode","12443.00","?othingNoname","10568.00","9z santidead","9363.00","dyfsssj"
"7,483","8021.00","nd?","7799.00","Rever?","7581.00","lora?","6531.00","??ja?"
"6,404","7445.00","WCK Francholigan","6654.00","WCK SkiperL2L2","5867.00","WCK Matousky","5652.00","Se?mu"
"15,582","29122.00","K1NGØD","15183.00","lil xown","11147.00","Damage.-13","6877.00","Phants Escaracho"
"9,956","11409.00","RED Snow.","11110.00","RED Avlr","10573.00","RED technoviking","6730.00","G.V Filipe?oy"
"7,632","8632.00","ISG Nahu","8195.00","ISG fffakkz","7716.00","ISG ZuiCx","5987.00","AION Tacser"
"15,227","22286.00","kur?z","18282.00","FURIA leleo","11302.00","wisheydp","9037.00","SNG king?"
"5,143","5297.00","AION Riquelmee","5235.00","Phants Rustyk","5218.00","Phants Sanku","4822.00","AION Germán62hz"
"5,864","8750.00","TA Toxic","6971.00","9z žEkO","3904.00","Ar4n.","3833.00","skull.ssj"
"4,633","6962.00","QUASAR Losted","4790.00","TLS cadu lnl-","3498.00","TLS amo o dott","3283.00","TLS bedin lnl-"
"4,830","6682.00","SNG Refletz","5474.00","SNG Faah","4665.00","SNG ?orone","2501.00","OnLy Phzin"
"6,125","8791.00","histtory ?","5977.00","G.V shecoboy","5169.00","mstzera","4563.00","estevin JACARE"
"1,376","1963.00","USE CODE H4wwk","1300.00","Frostye.","1254.00","T?rzaN.","985.00","cadeira rápida"
"2,104","3204.00","ISG AgusZK","2308.00","nah im d?ne","1997.00","ISG Gaunelis","908.00","jotadi?"
"719","1102.00","og pronextt.","930.00","LVG TomibøyZZZZ","845.00","LVG Jmbøy","0.00","zaion ."
"2,880","5147.00","QUASAR Devest_c","4630.00","DC neon ?","1322.00","slay brux","421.00","Kírito."
"537","684.00","TLS Guigo","684.00","TLS Li?? ?","428.00","Barella1116","352.00","???. ??x"
"2,410","5456.00","tade -a-","3433.00","Dionel the name","697.00","rus?","56.00","nias -a-"
"2,266","3133.00","Twitch.zDuduh","2539.00","GUNEEEVES","2368.00","teruel lul","1026.00","millionaire bz"
"7,194","8250.00","9z Lagarto.XØ","7434.00","9z Leobas","7409.00","9z Twayko","5681.00","AION zqull"
"5,704","10466.00","SNG Lasers","4469.00","SNG Igo","3950.00","LUCØ","3929.00","eu te amo mãe"
"1,974","2139.00","wL Lemu","2071.00","?????x","1858.00","wL placceN","1828.00","Weliaz"
"35","126.00","JKS Luiston","15.00","JKS ünšual","0.00","ch?ster","0.00","?hayz"
"239","478.00","yRedSkull","478.00","Nobishy","0.00","Lzn TOMPERRO","0.00","safety."
