Avg Power Points,#1 Points,#1,#2 Points,#2,#3 Points,#3,#4 Points,#4
"8,396","9275.00","Thunder Unit","9202.00","Thunder Souriano","9085.00","TU Brook","6020.00","Thunder Snow."
"6,598","7151.00","AdaM ?","6591.00","Yung WH1TE","6531.00","cigol_ on Twitch","6120.00","?uity"
"4,832","5459.00","Thunder Carl","5015.00","Snowyka","4873.00","Raed ?","3981.00","LeziX."
"2,545","3930.00","Sudor Rex","2083.00","eGz I4xPRO","2083.00","eGz ToRmen","2083.00","eGz Dexefite"
"5,460","6486.00","POWER Nm7","5670.00","POWER FHD","5607.00","POWER Yonx","4076.00","POWER Rv"
"202","660.00","Mayhem yoitsmee.","148.00","LazershooterYT","0.00","MES Santos-a-","0.00","Mayhem Helium"
"1,226","1813.00","Frenzy.iwnl","1511.00","ETHRL NetloV ??","1225.00","Ethereal Sickerz","354.00","Ethereal fdoz??"
"3,304","5437.00","DNA HunterZK","4475.00","SAM PrimeZK","3302.00","SAM Flame .","0.00","SAM FoxuZK"
"3,642","5652.00","?ursive","4628.00","Ion??","3704.00","Cabbag?","586.00","Doom?"
"1,900","2948.00","TU Broken -a-","1867.00","TU CHozay","1648.00","TU Aboo6y","1137.00","TU Stilson"
"983","2259.00","ASMR vagnaR","1674.00","ASMR Reptix","0.00","Tooke is kriezi","0.00","Kinqver ?"
"2,094","2657.00","lil DaddyFaiisal","2619.00","TU iExon -a-","2294.00","ASMR Spy","807.00","TU Jawad"
"1,766","3031.00","ste?dy","1902.00","?4nda","1411.00","TU Tuna","718.00","DiE Ray"
"1,040","2263.00","FA Toggle","1344.00","liryC","500.00","Kune?","51.00","Verizium"
"0","0.00","SQ Hope","0.00","Fierce?","0.00","SQ Faith","0.00","SQ SFA7fn"
"644","2206.00","jigsocw","370.00","FA P7_Nong9_?","0.00","Q U i C K L Y","0.00","KOG.KimMy?"
"590","1318.00","k?bo","675.00","Zyuuki.","369.00","ANBU Sanctier","0.00","twitch krptic2k"
"4,369","6041.00","AlterEgo.nomfu","5395.00","AlterEgo.Mev","4086.00","DiE S?n?","1955.00","DiE pancake"
"1,089","2043.00","KYGO qt","1868.00","Birelta","446.00","SaaL.","0.00","Akatsuki Pain?"
"0","0.00","1Pompo","0.00","7Lubx","0.00","3DWANI.","0.00","TRZ AgPro_"
"2,484","4950.00","TriggerQQ Miner","4786.00","TriggerQQ Uniq","199.00","TriggerQQ Shadow","0.00","TriggerQQ SimBa"
"0","0.00","ABO FAL7.","0.00","N7R DrFx","0.00","N7R AzM.","0.00","N7R Saud"
"2,094","2389.00","RRQ Lyn","2325.00","RRQ Danielbieje","2146.00","RRQ shanks","1514.00","bobby bin laden"
"2,970","4646.00","AEGO Dennisthmus","4192.00","AlterEgo.KLOPZ","3044.00","AlterEgo Feezle","0.00","Moonkush."
"0","0.00","WASP Rocky?","0.00","Faiyaz360","0.00","Alif -a-","0.00","WASP Yo Nan ?_?"
