Avg Power Points,#1 Points,#1,#2 Points,#2,#3 Points,#3,#4 Points,#4
"34,628","48825.00","NRG Zayt","38082.00","Ghost Saf -a-","32698.00","TSM_Comadon","18906.00","SEN HighSky"
"36,449","40145.00","FaZe Megga.","48471.00","FaZe Dubs -a-","31868.00","Ghost Bizzle","25313.00","Rogue Eclipsae"
"17,804","14120.00","Mike?.","19471.00","BBG Smqcked","16441.00","BBG Posick","21186.00","Nittle"
"24,010","24803.00","RS clarityG","16388.00","Liquid ??RE???","34501.00","SEN Bugh?","20347.00","Ghost thwifo"
"15,705","13908.00","Khanada_","14389.00","Liquid Fiber ?","21137.00","Tfue","13385.00","clkzy"
"16,506","12118.00","TeKae.","26744.00","RogueShark_","13525.00","E11 BlooTea","13639.00","roatdw"
"10,068","10070.00","nan?lite","10188.00","Shaedess","9897.00","FaZe Bini","10117.00","FaZe Diggy"
"13,868","24937.00","Slackes","5885.00","Ghost ???ault","11039.00","inno?ent?","13610.00","NotSebby"
"8,746","7938.00","J?mper","8664.00","VY?.","9118.00","V?IL.","9262.00","?EEJAY."
"5,960","4671.00","A1 Scoped","7271.00","A1 TUEXY","6983.00","A1 Nut","4915.00","A1 King."
"16,272","11441.00","TSM Cloud -a-","12158.00","SEN Zyf?","24463.00","lz? ??es","17026.00","KeysFN"
"4,897","4808.00","misfits ops","4942.00","pape1x","5544.00","chaotic1x","4295.00","nssh"
"5,011","4617.00","tickrss","3466.00","Ja?ob.","8195.00","LZR Hornet","3765.00","D?fy"
"6,009","4401.00","T1 Sofa","7219.00","Tristan Hipp","7702.00","jammyz","4714.00","br?cht"
"3,727","4117.00","A1 Cid","4765.00","A1 Simple-_-","4175.00","Fijex","1851.00","A1 Ajerss"
"20,604","10309.00","blakeps.","21008.00","MSF Spades","20746.00","LZR Crimz","30355.00","Clix"
"1,350","344.00","Astro ?","484.00","holyhedges story","1700.00","Xccept.","2872.00","?eti"
"7,517","6404.00","Ferrrnando1x","10017.00","casqer","6210.00","Rocaine.","7437.00","sto"
"1,699","0.00","Dom ?","1444.00","Evade Kariyuki","2756.00","Bugzvii OnTwitch","2595.00","VNSH Rubyfied"
"2,476","2587.00","P?rur","1797.00","moo?h","2314.00","Kiox.","3205.00","Evade Spayde"
"3,035","2279.00","Gl?wing.","4601.00","n?tt?","1735.00","cey?","3524.00","Hitta."
"3,980","784.00","LG Rasta","2933.00","Cubzy","1910.00","LG Cbass","10295.00","Thiccboy Luneze"
"6,524","3720.00","Kdoe.","5665.00","Anordy","8994.00","Rogue Tetchra","7716.00","Ghost Dmo"
"1,832","1290.00","Jerids","1553.00","Vexzcy","2456.00","Furious xo","2029.00","lil osp"
"2,864","3500.00","cbkflame","2022.00","ChiefAJ","2323.00","rZ Flam","3611.00","Baltic"
