Avg Power Points,#1 Points,#1,#2 Points,#2,#3 Points,#3,#4 Points,#4
"9,246","8609.00","D?natell?","9972.00","Rapha?l","10265.00","L?onard?","8140.00","Mich?langelo"
"13,016","15506.00","volx","11789.00","x2Twin? Jesse","12372.00","Gh?ez","12396.00","x2Twins Jord?n"
"8,594","8610.00","ganch?","8105.00","??n??n","9062.00","hillo.","8601.00","Cris?r"
"9,244","6173.00","mrfreshasian","8929.00","Jynx .","12374.00","Link.?","9500.00","R?l ll"
"2,026","1041.00","Aspec yt","3283.00","CF Leave","2532.00","munker nunker","1247.00","utube A1abi"
"7,092","5142.00","syn?.","6870.00","sl?y?","8452.00","worthy ll","7903.00","G?oboz"
"6,311","6195.00","S O Z","7080.00","swimming croc","6828.00","Hubic Pair.","5142.00","memo?rs"
"780","1107.00","Kezzaa.","257.00","utube VortexM","964.00","twitch looterfn","794.00","Jace iwnl"
"3,432","2962.00","Tyraxe","3493.00","rapt?h","3191.00","Twitch Sorif","4082.00","Wi||"
"2,141","773.00","overt rahcks","2588.00","Benjiz.","2181.00","coachsitter68","3021.00","SuMmErPiZzA"
"3,023","2195.00","louisvuitton2165","102.00","Cows?","4620.00","Youtube.Kayez","5176.00","Flacko ??"
"4,179","5123.00","Sp??dyND","3867.00","CoverH","3895.00","WAR Twizz","3830.00","WESTY-"
"1,821","1381.00","J?mbi","2663.00","?hluxzy","1629.00","trimm?rs","1610.00","undeys"
"2,421","990.00","ojojoj.","715.00","Pumpky.","4306.00","Ke?th","3674.00","Valaxies"
"3,770","136.00","rad?us","4042.00","Jake -a-","7733.00","Psyper","3171.00","Samboo."
"1,231","0.00","?light","331.00","Glor?ousMop","2680.00","br?ith","1914.00","MakiMasterBones"
"5,584","3780.00","kquid","6647.00","Spr?z","6310.00","Eshz.","5599.00","f?rb??"
"9,940","11050.00","parp? ll","12364.00","zoreh.","11527.00","j?hlyn","4821.00","FaZe Caryion"
"520","191.00","Remi gives snugs","1119.00","AtmptZ","233.00","Chév","539.00","D?mi"
"1,343","479.00","K9 hates Zarby","1334.00","????","2196.00","Flex?h","1363.00","Spookzzz_Youtube"
"516","0.00","habibi crabibi","645.00","??c?","14.00","??l?b.","1406.00","zionkels"
"1,364","1501.00","ronin","2404.00","qu?nn","742.00","Devour ??","811.00","goatt-"
"4,770","3216.00","CF MrRed","4851.00","Contest YouTube","6265.00","N?t.","4750.00","Lapex YT"
"492","999.00","ribzy ?","396.00","vxLupus","195.00","?ex","377.00","Julzy"
"400","0.00","zhko","385.00","shimd?g","644.00","s?o","570.00","f?en"
