Name,Region,Date,TotalEvents,UniqueEvents
SoaR Daric,NA East,2019-10-18,1,1
100T Wrigley,NA East,2019-10-18,1,1
100T Wrigley,NA East,2019-10-19,1,1
100T Wrigley,NA East,2019-10-20,1,1
Invalid gg,NA East,2019-10-18,2,1
Invalid gg,NA East,2019-10-19,2,1
Invalid gg,NA East,2019-10-20,3,2
E11 daxor.,NA East,2019-10-14,3,2
E11 daxor.,NA East,2019-10-18,2,2
E11 daxor.,NA East,2019-10-20,2,2
E11 daxor.,NA East,2019-10-16,1,1
MRKN Predator,NA East,2019-10-15,1,1
MRKN Predator,NA East,2019-10-17,2,2
100T Kenith,NA East,2019-10-17,1,1
Mastоris,NA East,2019-10-18,1,1
Mastоris,NA East,2019-10-17,2,1
MSF Clix,NA East,2019-10-14,2,2
MSF Clix,NA East,2019-10-16,3,3
MSF Clix,NA East,2019-10-20,3,3
MSF Clix,NA East,2019-10-15,1,1
MSF Clix,NA East,2019-10-17,1,1
MSF Clix,NA East,2019-10-18,1,1
MSF Clix,NA East,2019-10-19,1,1
Arckite,NA East,2019-10-15,1,1
Arckite,NA East,2019-10-16,1,1
Arckite,NA East,2019-10-19,1,1
Arckite,NA East,2019-10-20,1,1
V8 Birdy,NA East,2019-10-15,1,1
V8 Birdy,NA East,2019-10-16,4,3
V8 Birdy,NA East,2019-10-18,4,3
100T Elevate,NA West,2019-10-14,1,1
Envy LeNain,NA East,2019-10-18,1,1
Regal PuffiN,NA East,2019-10-19,1,1
Thiccboy Arab,NA East,2019-10-14,1,1
gg thwifo,NA East,2019-10-14,3,2
gg thwifo,NA East,2019-10-18,2,2
SEN Bughа,NA East,2019-10-16,4,3
SEN Bughа,NA East,2019-10-14,12,9
SEN Bughа,NA East,2019-10-17,9,7
SEN Bughа,NA East,2019-10-18,9,6
SEN Bughа,NA East,2019-10-15,8,7
SEN Bughа,NA East,2019-10-19,8,7
SEN Bughа,NA East,2019-10-20,8,7
RoAtDW,NA East,2019-10-19,4,1
careergon Sebby,NA East,2019-10-18,4,4
careergon Sebby,NA East,2019-10-20,4,2
careergon Sebby,NA East,2019-10-17,2,1
careergon Sebby,NA East,2019-10-19,1,1
Jangо,NA East,2019-10-17,4,1
Trevvii,NA East,2019-10-16,1,1
J.Storm Tylarzz,NA East,2019-10-16,1,1
E11 BlooTea,NA East,2019-10-15,1,1
E11 BlooTea,NA East,2019-10-19,1,1
FLY Frat,NA East,2019-10-17,1,1
FLY Frat,NA East,2019-10-20,1,1
GA_KEZ,NA East,2019-10-20,4,2
GA_KEZ,NA East,2019-10-17,2,2
GA_KEZ,NA East,2019-10-19,2,2
KenKireMoth,NA East,2019-10-19,2,2
KenKireMoth,NA East,2019-10-20,2,2
KenKireMoth,NA East,2019-10-18,4,3
KenKireMoth,NA East,2019-10-15,1,1
sto FN,NA East,2019-10-20,1,1
sto FN,NA East,2019-10-14,2,1
Ajаy,NA East,2019-10-14,2,1
Ajаy,NA East,2019-10-16,1,1
Ajаy,NA East,2019-10-18,1,1
exuhz,NA East,2019-10-20,1,1
exuhz,NA East,2019-10-18,5,2
coL Lanjok,NA West,2019-10-16,2,1
coL Lanjok,NA West,2019-10-19,1,1
bhegs,NA East,2019-10-14,1,1
bhegs,NA East,2019-10-19,4,1
bhegs,NA East,2019-10-20,3,3
RogueShark_,NA East,2019-10-20,3,2
RogueShark_,NA East,2019-10-17,4,2
RogueShark_,NA East,2019-10-14,1,1
RogueShark_,NA East,2019-10-18,1,1
RogueShark_,NA East,2019-10-19,1,1
Grove iwnl,NA East,2019-10-16,2,1
GodNiсk,NA East,2019-10-18,2,2
GodNiсk,NA East,2019-10-15,1,1
GodNiсk,NA East,2019-10-17,1,1
woofgang crimz,NA East,2019-10-15,1,1
woofgang crimz,NA East,2019-10-18,3,2
MSF Sheep,NA East,2019-10-18,3,2
MSF Sheep,NA East,2019-10-20,2,2
MSF Sheep,NA East,2019-10-15,1,1
7eο,NA East,2019-10-15,1,1
7eο,NA East,2019-10-20,1,1
7eο,NA East,2019-10-17,2,1
code ronaldo,NA East,2019-10-15,1,1
code ronaldo,NA East,2019-10-18,1,1
S i p,NA East,2019-10-17,2,2
KeysFN,NA East,2019-10-18,1,1
Envy collinfrags,NA East,2019-10-20,1,1
Jacobaqi,NA East,2019-10-16,1,1
Jacobaqi,NA East,2019-10-20,1,1
LK Bumpaah,NA East,2019-10-15,1,1
LK Bumpaah,NA East,2019-10-18,1,1
LK Bumpaah,NA East,2019-10-19,1,1
innoсentѕ,NA East,2019-10-20,1,1
RBK HighSky,NA East,2019-10-15,1,1
RBK HighSky,NA East,2019-10-17,1,1
ego waffles,NA East,2019-10-16,1,1
ego waffles,NA East,2019-10-18,1,1
ego waffles,NA East,2019-10-20,2,2
Ѕtretch.,NA East,2019-10-19,2,1
Ѕtretch.,NA East,2019-10-14,1,1
Ѕtretch.,NA East,2019-10-20,1,1
RS clarityG,NA East,2019-10-14,1,1
RS clarityG,NA East,2019-10-19,2,2
Tfue,NA East,2019-10-17,1,1
Ghost Aѕѕault,NA East,2019-10-14,1,1
Ghost Snood,NA East,2019-10-18,1,1
Ghost Snood,NA East,2019-10-19,1,1
LDamienS,NA East,2019-10-17,1,1
LDamienS,NA East,2019-10-14,2,1
LDamienS,NA East,2019-10-19,2,2
LDamienS,NA East,2019-10-20,2,2
LDamienS,NA East,2019-10-18,3,2
LZR Kreo,NA East,2019-10-17,3,2
LZR Kreo,NA East,2019-10-15,2,1
LZR Kreo,NA East,2019-10-14,1,1
LZR Kreo,NA East,2019-10-16,1,1
LZR Kreo,NA East,2019-10-20,1,1
adhd walspar,NA East,2019-10-17,1,1
WildfireFN,NA East,2019-10-20,1,1
WildfireFN,NA East,2019-10-15,2,2
WildfireFN,NA East,2019-10-19,3,3
WildfireFN,NA East,2019-10-16,7,3
DavisEz,NA East,2019-10-15,1,1
DavisEz,NA East,2019-10-19,1,1
Thiccboy Luneze,NA East,2019-10-15,1,1
Loadist.,NA East,2019-10-18,3,1
Loadist.,NA East,2019-10-20,2,2
Clank,NA East,2019-10-18,2,1
Clank,NA East,2019-10-19,2,1
Clank,NA East,2019-10-20,2,2
Clank,NA East,2019-10-14,3,3
Clank,NA East,2019-10-17,5,5
Clank,NA East,2019-10-15,1,1
zlеm,NA East,2019-10-18,2,2
XXiF,NA East,2019-10-16,1,1
1400 Joelbtw,NA East,2019-10-14,1,1
CardiganSweaters,NA East,2019-10-16,1,1
MRKN Perplexii,NA East,2019-10-15,1,1
MRKN Perplexii,NA East,2019-10-17,2,1
Nate Hill,NA East,2019-10-19,1,1
Nate Hill,NA East,2019-10-20,1,1
Legedien,NA East,2019-10-19,1,1
NoSundayTrigg,NA East,2019-10-15,1,1
NoSundayTrigg,NA East,2019-10-20,1,1
100T Klass,NA East,2019-10-15,1,1
100T Klass,NA East,2019-10-17,1,1
100T Klass,NA East,2019-10-20,1,1
100T Klass,NA East,2019-10-18,2,2
J.Storm_Painful,NA East,2019-10-16,3,1
J.Storm_Painful,NA East,2019-10-17,1,1
LiquidFiber,NA East,2019-10-19,2,2
Sublime Nicolai,NA East,2019-10-18,1,1
Sublime Nicolai,NA East,2019-10-20,1,1
CODE SEN-Aspect,NA East,2019-10-16,1,1
SEN Carose,NA East,2019-10-17,1,1
SEN Carose,NA East,2019-10-18,2,2
SEN Carose,NA East,2019-10-20,2,2
E11 Agholor,NA East,2019-10-19,1,1
Tetchra,NA East,2019-10-17,2,2
Tetchra,NA East,2019-10-15,3,2
Tetchra,NA East,2019-10-18,4,4
CODE POTFAST,NA East,2019-10-18,2,2
CODE POTFAST,NA East,2019-10-15,1,1
CODE POTFAST,NA East,2019-10-16,1,1
CODE POTFAST,NA East,2019-10-19,1,1
TL 72,NA East,2019-10-15,1,1
TL 72,NA East,2019-10-17,1,1
TL 72,NA East,2019-10-19,1,1
Eclipsae,NA East,2019-10-17,1,1
Slackes,NA East,2019-10-17,1,1
Slackes,NA East,2019-10-18,1,1
SEN Animal,NA East,2019-10-14,1,1
SEN Animal,NA East,2019-10-20,1,1
SEN Animal,NA East,2019-10-19,2,1
SEN Animal,NA East,2019-10-18,3,2
Flossen Fields,NA East,2019-10-16,1,1
Flossen Fields,NA East,2019-10-17,1,1
Flossen Fields,NA East,2019-10-18,1,1
Flossen Fields,NA East,2019-10-19,1,1
TeеJay,NA East,2019-10-17,1,1
d0nkeydoomer77,NA East,2019-10-20,1,1
OT Spαdes,NA East,2019-10-15,1,1
OT Spαdes,NA East,2019-10-16,1,1
OT Spαdes,NA East,2019-10-17,1,1
OT Spαdes,NA East,2019-10-18,1,1
OT Spαdes,NA East,2019-10-20,1,1
Strugs.,NA East,2019-10-16,1,1
Strugs.,NA East,2019-10-17,1,1
