Name,Region,Date,TotalEvents,UniqueEvents
SoaR Daric,NA East,10/18/2019,1,1
SheepImThat,NA East,10/21/2019,1,1
SheepImThat,NA East,10/22/2019,1,1
100T Wrigley,NA East,10/26/2019,1,1
100T Wrigley,NA East,10/21/2019,2,2
100T Wrigley,NA East,10/18/2019,1,1
100T Wrigley,NA East,10/19/2019,1,1
100T Wrigley,NA East,10/20/2019,1,1
Invalid gg,NA East,10/18/2019,2,1
Invalid gg,NA East,10/19/2019,2,1
Invalid gg,NA East,10/20/2019,3,2
Invalid gg,NA East,10/23/2019,1,1
E11 daxor.,NA East,10/24/2019,1,1
E11 daxor.,NA East,10/14/2019,3,2
E11 daxor.,NA East,10/18/2019,2,2
E11 daxor.,NA East,10/20/2019,2,2
E11 daxor.,NA East,10/16/2019,1,1
MRKN Predator,NA East,10/15/2019,1,1
MRKN Predator,NA East,10/17/2019,2,2
MRKN Predator,NA East,10/21/2019,1,1
MRKN Predator,NA East,10/24/2019,1,1
Liquid Vivid,NA East,10/21/2019,1,1
Liquid Vivid,NA East,10/24/2019,1,1
100T Kenith,NA East,10/21/2019,1,1
100T Kenith,NA East,10/22/2019,2,2
100T Kenith,NA East,10/17/2019,1,1
Mastоris,NA East,10/18/2019,1,1
Mastоris,NA East,10/17/2019,2,1
Mastоris,NA East,10/21/2019,2,2
Mastоris,NA East,10/26/2019,2,1
Mastоris,NA East,10/22/2019,1,1
Mastоris,NA East,10/25/2019,1,1
FaZe Diggy,NA East,10/24/2019,1,1
MSF Clix,NA East,10/23/2019,1,1
MSF Clix,NA East,10/24/2019,1,1
MSF Clix,NA East,10/25/2019,1,1
MSF Clix,NA East,10/21/2019,2,2
MSF Clix,NA East,10/22/2019,2,2
MSF Clix,NA East,10/26/2019,3,3
MSF Clix,NA East,10/14/2019,2,2
MSF Clix,NA East,10/16/2019,3,3
MSF Clix,NA East,10/20/2019,3,3
MSF Clix,NA East,10/15/2019,1,1
MSF Clix,NA East,10/17/2019,1,1
MSF Clix,NA East,10/18/2019,1,1
MSF Clix,NA East,10/19/2019,1,1
Arckite,NA East,10/15/2019,1,1
Arckite,NA East,10/16/2019,1,1
Arckite,NA East,10/19/2019,1,1
Arckite,NA East,10/20/2019,1,1
Arckite,NA East,10/25/2019,1,1
coL Punisher,NA East,10/21/2019,1,1
coL Punisher,NA East,10/23/2019,1,1
V8 Birdy,NA East,10/21/2019,1,1
V8 Birdy,NA East,10/26/2019,1,1
V8 Birdy,NA East,10/22/2019,7,4
V8 Birdy,NA East,10/23/2019,4,2
V8 Birdy,NA East,10/15/2019,1,1
V8 Birdy,NA East,10/16/2019,4,3
V8 Birdy,NA East,10/18/2019,4,3
100T Elevate,NA West,10/14/2019,1,1
100T Elevate,NA West,10/22/2019,1,1
Envy LeNain,NA East,10/21/2019,3,2
Envy LeNain,NA East,10/18/2019,1,1
Regal PuffiN,NA East,10/19/2019,1,1
Regal PuffiN,NA East,10/26/2019,1,1
Thiccboy Arab,NA East,10/21/2019,1,1
Thiccboy Arab,NA East,10/14/2019,1,1
gg thwifo,NA East,10/14/2019,3,2
gg thwifo,NA East,10/18/2019,2,2
gg thwifo,NA East,10/24/2019,1,1
MRKN Trophy,NA East,10/22/2019,1,1
SEN Bughа,NA East,10/23/2019,3,3
SEN Bughа,NA East,10/22/2019,9,8
SEN Bughа,NA East,10/24/2019,8,7
SEN Bughа,NA East,10/21/2019,7,6
SEN Bughа,NA East,10/25/2019,7,6
SEN Bughа,NA East,10/26/2019,7,7
SEN Bughа,NA East,10/16/2019,4,3
SEN Bughа,NA East,10/14/2019,12,9
SEN Bughа,NA East,10/17/2019,9,7
SEN Bughа,NA East,10/18/2019,9,6
SEN Bughа,NA East,10/15/2019,8,7
SEN Bughа,NA East,10/19/2019,8,7
SEN Bughа,NA East,10/20/2019,8,7
RoAtDW,NA East,10/19/2019,4,1
RoAtDW,NA East,10/21/2019,1,1
RoAtDW,NA East,10/24/2019,1,1
careergon Sebby,NA East,10/22/2019,1,1
careergon Sebby,NA East,10/23/2019,1,1
careergon Sebby,NA East,10/25/2019,1,1
careergon Sebby,NA East,10/26/2019,1,1
careergon Sebby,NA East,10/24/2019,4,4
careergon Sebby,NA East,10/18/2019,4,4
careergon Sebby,NA East,10/20/2019,4,2
careergon Sebby,NA East,10/17/2019,2,1
careergon Sebby,NA East,10/19/2019,1,1
LZR Kiwiface,NA East,10/23/2019,1,1
Jangо,NA East,10/17/2019,4,1
Trevvii,NA East,10/16/2019,1,1
J.Storm Tylarzz,NA East,10/16/2019,1,1
J.Storm Tylarzz,NA East,10/21/2019,1,1
E11 BlooTea,NA East,10/25/2019,1,1
E11 BlooTea,NA East,10/15/2019,1,1
E11 BlooTea,NA East,10/19/2019,1,1
FLY Frat,NA East,10/17/2019,1,1
FLY Frat,NA East,10/20/2019,1,1
GA_KEZ,NA East,10/20/2019,4,2
GA_KEZ,NA East,10/17/2019,2,2
GA_KEZ,NA East,10/19/2019,2,2
GA_KEZ,NA East,10/22/2019,1,1
GA_KEZ,NA East,10/24/2019,1,1
GA_KEZ,NA East,10/25/2019,1,1
GA_KEZ,NA East,10/21/2019,2,2
KenKireMoth,NA East,10/23/2019,1,1
KenKireMoth,NA East,10/26/2019,1,1
KenKireMoth,NA East,10/19/2019,2,2
KenKireMoth,NA East,10/20/2019,2,2
KenKireMoth,NA East,10/18/2019,4,3
KenKireMoth,NA East,10/15/2019,1,1
sto FN,NA East,10/20/2019,1,1
sto FN,NA East,10/14/2019,2,1
sto FN,NA East,10/25/2019,1,1
sto FN,NA East,10/26/2019,1,1
Ajаy,NA East,10/21/2019,1,1
Ajаy,NA East,10/23/2019,1,1
Ajаy,NA East,10/14/2019,2,1
Ajаy,NA East,10/16/2019,1,1
Ajаy,NA East,10/18/2019,1,1
exuhz,NA East,10/20/2019,1,1
exuhz,NA East,10/18/2019,5,2
exuhz,NA East,10/26/2019,1,1
coL Lanjok,NA West,10/26/2019,1,1
coL Lanjok,NA West,10/16/2019,2,1
coL Lanjok,NA West,10/19/2019,1,1
bhegs,NA East,10/14/2019,1,1
bhegs,NA East,10/19/2019,4,1
bhegs,NA East,10/20/2019,3,3
bhegs,NA East,10/21/2019,1,1
RogueShark_,NA East,10/22/2019,1,1
RogueShark_,NA East,10/24/2019,1,1
RogueShark_,NA East,10/25/2019,1,1
RogueShark_,NA East,10/20/2019,3,2
RogueShark_,NA East,10/17/2019,4,2
RogueShark_,NA East,10/14/2019,1,1
RogueShark_,NA East,10/18/2019,1,1
RogueShark_,NA East,10/19/2019,1,1
Grove iwnl,NA East,10/16/2019,2,1
LG Aragon,NA East,10/23/2019,1,1
LG Aragon,NA East,10/22/2019,2,2
GodNiсk,NA East,10/18/2019,2,2
GodNiсk,NA East,10/15/2019,1,1
GodNiсk,NA East,10/17/2019,1,1
woofgang crimz,NA East,10/15/2019,1,1
woofgang crimz,NA East,10/18/2019,3,2
woofgang crimz,NA East,10/26/2019,1,1
MSF Sheep,NA East,10/21/2019,1,1
MSF Sheep,NA East,10/18/2019,3,2
MSF Sheep,NA East,10/20/2019,2,2
MSF Sheep,NA East,10/15/2019,1,1
EG JTruth,NA East,10/24/2019,1,1
FWD Sicko,NA East,10/23/2019,1,1
FWD Sicko,NA East,10/24/2019,1,1
7eο,NA East,10/21/2019,1,1
7eο,NA East,10/15/2019,1,1
7eο,NA East,10/20/2019,1,1
7eο,NA East,10/17/2019,2,1
code ronaldo,NA East,10/15/2019,1,1
code ronaldo,NA East,10/18/2019,1,1
code ronaldo,NA East,10/22/2019,1,1
code ronaldo,NA East,10/25/2019,3,3
RBK Steanzz,NA East,10/26/2019,2,2
RBK Steanzz,NA East,10/22/2019,1,1
S i p,NA East,10/26/2019,1,1
S i p,NA East,10/17/2019,2,2
KeysFN,NA East,10/18/2019,1,1
KeysFN,NA East,10/26/2019,1,1
clkzy,NA East,10/22/2019,1,1
Envy collinfrags,NA East,10/20/2019,1,1
Parallel AND0,NA East,10/24/2019,1,1
Jacobaqi,NA East,10/21/2019,2,1
Jacobaqi,NA East,10/23/2019,1,1
Jacobaqi,NA East,10/16/2019,1,1
Jacobaqi,NA East,10/20/2019,1,1
LK Bumpaah,NA East,10/15/2019,1,1
LK Bumpaah,NA East,10/18/2019,1,1
LK Bumpaah,NA East,10/19/2019,1,1
LK Bumpaah,NA East,10/22/2019,1,1
innoсentѕ,NA East,10/20/2019,1,1
Odxnied.,NA East,10/24/2019,1,1
Odxnied.,NA East,10/26/2019,1,1
Odxnied.,NA East,10/21/2019,3,2
RBK HighSky,NA East,10/22/2019,1,1
RBK HighSky,NA East,10/25/2019,1,1
RBK HighSky,NA East,10/26/2019,2,2
RBK HighSky,NA East,10/15/2019,1,1
RBK HighSky,NA East,10/17/2019,1,1
ego waffles,NA East,10/16/2019,1,1
ego waffles,NA East,10/18/2019,1,1
ego waffles,NA East,10/20/2019,2,2
ego waffles,NA East,10/21/2019,2,2
ego waffles,NA East,10/23/2019,1,1
Ѕtretch.,NA East,10/21/2019,1,1
Ѕtretch.,NA East,10/26/2019,1,1
Ѕtretch.,NA East,10/22/2019,2,2
Ѕtretch.,NA East,10/19/2019,2,1
