Name,Region,SearchDate,TotalEvents,UniqueEvents
SoaR Daric,NA East,2019-10-18,1,1
SoaR Daric,NA East,2019-10-30,2,1
SoaR Daric,NA East,2019-11-01,1,1
SheepImThat,NA East,2019-10-21,1,1
SheepImThat,NA East,2019-10-22,1,1
SheepImThat,NA East,2019-11-05,1,1
100T Wrigley,NA East,2019-10-18,1,1
100T Wrigley,NA East,2019-10-19,1,1
100T Wrigley,NA East,2019-10-20,1,1
100T Wrigley,NA East,2019-10-21,2,2
100T Wrigley,NA East,2019-10-26,1,1
100T Wrigley,NA East,2019-11-01,2,1
100T Wrigley,NA East,2019-11-04,1,1
Invalid gg,NA East,2019-10-20,3,2
Invalid gg,NA East,2019-10-18,2,1
Invalid gg,NA East,2019-10-19,2,1
Invalid gg,NA East,2019-10-23,1,1
Invalid gg,NA East,2019-10-27,4,3
E11 daxor.,NA East,2019-10-14,3,2
E11 daxor.,NA East,2019-10-18,2,2
E11 daxor.,NA East,2019-10-20,2,2
E11 daxor.,NA East,2019-10-16,1,1
E11 daxor.,NA East,2019-10-24,1,1
E11 daxor.,NA East,2019-10-29,2,2
E11 daxor.,NA East,2019-10-30,2,1
E11 daxor.,NA East,2019-10-31,1,1
E11 daxor.,NA East,2019-11-01,1,1
E11 daxor.,NA East,2019-11-03,2,2
karazia.,NA East,2019-11-04,1,1
MacaroniEater71,NA East,2019-10-17,2,2
MacaroniEater71,NA East,2019-10-15,1,1
MacaroniEater71,NA East,2019-10-21,1,1
MacaroniEater71,NA East,2019-10-24,1,1
MacaroniEater71,NA East,2019-11-03,2,2
MacaroniEater71,NA East,2019-11-04,1,1
Liquid Vivid,NA East,2019-10-21,1,1
Liquid Vivid,NA East,2019-10-24,1,1
???,NA East,2019-10-17,1,1
???,NA East,2019-11-02,1,1
???,NA East,2019-11-04,1,1
???,NA East,2019-11-03,2,2
???,NA East,2019-11-06,2,1
???,NA East,2019-10-29,2,1
???,NA East,2019-10-27,1,1
???,NA East,2019-10-28,1,1
???,NA East,2019-10-30,1,1
???,NA East,2019-10-31,3,2
???,NA East,2019-10-22,2,2
???,NA East,2019-10-21,1,1
Mast?ris,NA East,2019-10-17,2,1
Mast?ris,NA East,2019-10-18,1,1
Mast?ris,NA East,2019-11-01,6,4
Mast?ris,NA East,2019-10-28,1,1
Mast?ris,NA East,2019-10-21,2,2
Mast?ris,NA East,2019-10-26,2,1
Mast?ris,NA East,2019-10-22,1,1
Mast?ris,NA East,2019-10-25,1,1
FaZe Diggy,NA East,2019-10-24,1,1
FaZe Diggy,NA East,2019-11-01,1,1
Clix,NA East,2019-10-16,3,3
Clix,NA East,2019-10-20,3,3
Clix,NA East,2019-10-14,2,2
Clix,NA East,2019-10-15,1,1
Clix,NA East,2019-10-17,1,1
Clix,NA East,2019-10-18,1,1
Clix,NA East,2019-11-07,1,1
Clix,NA East,2019-11-06,2,2
Clix,NA East,2019-11-02,1,1
Clix,NA East,2019-11-03,1,1
Clix,NA East,2019-11-04,1,1
Clix,NA East,2019-11-05,1,1
Clix,NA East,2019-10-25,1,1
Clix,NA East,2019-10-29,9,7
Clix,NA East,2019-10-27,6,5
Clix,NA East,2019-11-01,4,4
Clix,NA East,2019-10-28,2,2
Clix,NA East,2019-10-30,2,2
Clix,NA East,2019-10-19,1,1
Clix,NA East,2019-10-26,3,3
Clix,NA East,2019-10-21,2,2
Clix,NA East,2019-10-22,2,2
Clix,NA East,2019-10-23,1,1
Clix,NA East,2019-10-24,1,1
???,NA East,2019-10-15,1,1
???,NA East,2019-10-16,1,1
???,NA East,2019-10-19,1,1
???,NA East,2019-10-20,1,1
???,NA East,2019-10-25,1,1
Cad?t,NA East,2019-10-29,1,1
coL Punisher,NA East,2019-10-21,1,1
coL Punisher,NA East,2019-10-23,1,1
coL Punisher,NA East,2019-10-30,1,1
coL Punisher,NA East,2019-11-02,1,1
papa birdy,NA East,2019-10-16,4,3
papa birdy,NA East,2019-10-18,4,3
papa birdy,NA East,2019-10-15,1,1
papa birdy,NA East,2019-10-21,1,1
papa birdy,NA East,2019-10-26,1,1
papa birdy,NA East,2019-10-28,3,3
papa birdy,NA East,2019-10-27,2,2
papa birdy,NA East,2019-10-30,1,1
papa birdy,NA East,2019-10-22,7,4
papa birdy,NA East,2019-10-23,4,2
Hippie Habitat,NA East,2019-11-04,2,2
